time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694110613937500,-9.557948,1.392027,-0.053676,,,
1694110613945312,-9.577948,1.386027,0.66,0.68576,0.46616,0.31971
1694110613953125,-9.535948,1.342027,0.669,0.71976,0.43416,0.19271
1694110613960937,-9.537948,1.310027,0.662,0.74976,0.38516,0.17671
1694110613968750,-9.607948,1.280027,0.678,0.84376,0.35716,0.1129
1694110613976562,-9.647948,1.247027,0.676,0.89076,0.37616,0.10529
1694110613992187,-9.630948,1.155027,0.647,0.95776,0.31916,0.42029
1694110614000000,-9.623948,1.104027,0.633,0.89776,0.34416,0.56129
1694110614007812,-9.609948,1.75027,0.635,0.74776,0.34916,0.62529
1694110614015625,-9.584948,1.63027,0.638,0.74976,0.42016,0.73329
1694110614039062,-9.646948,1.187027,0.69,0.73576,0.60716,0.76129
1694110614046875,-9.665948,1.190027,0.712,0.73176,0.66416,0.75729
1694110614054687,-9.656948,1.193027,0.742,0.68976,0.68016,0.80529
1694110614062500,-9.616948,1.141027,0.744,0.65976,0.62716,0.77629
1694110614070312,-9.579948,1.83027,0.749,0.75276,0.54516,0.88729
1694110614078125,-9.664948,1.11027,0.745,0.72376,0.43116,0.100029
1694110614085937,-9.741948,0.955027,0.745,0.73976,0.44016,0.114029
1694110614093750,-9.741948,0.899027,0.729,0.61776,0.43216,0.125029
1694110614101562,-9.787948,0.822027,0.713,0.51376,0.40116,0.131529
1694110614109375,-9.816948,0.773027,0.724,0.42176,0.49116,0.137629
1694110614117187,-9.783948,0.699027,0.709,0.28776,0.61216,0.142229
1694110614125000,-9.819948,0.721027,0.707,0.25876,0.62416,0.137629
1694110614132812,-9.786948,0.760027,0.761,0.19676,0.74416,0.135729
1694110614140625,-9.673948,0.786027,0.784,0.21276,0.80416,0.126329
1694110614148437,-9.612948,0.777027,0.804,0.12976,0.78916,0.110529
