time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1702331410078125,-9.336473,3.028377,-0.035207,,,
1702331410085937,-9.341473,0.619393,3.19377,0.31807,0.45985,0.40636
1702331410093750,-9.325473,0.628393,3.19377,0.36907,0.43485,0.38836
1702331410101562,-9.317473,0.632393,3.21377,0.44507,0.42285,0.35936
1702331410109375,-9.311473,0.632393,3.1377,0.31907,0.43585,0.32436
1702331410117187,-9.315473,0.650393,3.3377,0.31807,0.36385,0.37436
1702331410132812,-9.321473,0.646393,2.962377,0.22307,0.48185,0.38836
1702331410140625,-9.319473,0.657393,2.976377,0.17307,0.36685,0.35736
1702331410148437,-9.327473,0.655393,2.967377,0.17807,0.41685,0.32136
1702331410156250,-9.318473,0.662393,2.951377,0.19207,0.39485,0.30736
1702331410179687,-9.339473,0.657393,3.3377,0.6207,0.32585,0.30836
1702331410187500,-9.336473,0.664393,2.996377,0.11107,0.31385,0.27536
1702331410195312,-9.341473,0.686393,3.10377,0.9407,0.39185,0.29136
1702331410203125,-9.322473,0.683393,3.26377,0.5593,0.32985,0.27836
1702331410210937,-9.326473,0.688393,3.23377,0.393,0.33885,0.29336
1702331410218750,-9.324473,0.708393,3.19377,0.8493,0.40385,0.27636
1702331410226562,-9.330473,0.710393,2.989377,0.8193,0.39485,0.29136
1702331410234375,-9.326473,0.708393,3.39377,0.8393,0.40685,0.27536
1702331410242187,-9.328473,0.672393,2.906377,0.1993,0.32285,0.29236
1702331410250000,-9.335473,0.677393,2.899377,0.8493,0.33885,0.27636
1702331410257812,-9.344473,0.695393,3.19377,0.8493,0.31085,0.21236
1702331410265625,-9.381473,0.721393,3.109377,0.7093,0.39485,0.32636
1702331410273437,-9.360473,0.724393,3.62377,0.26393,0.41285,0.29336
1702331410281250,-9.351473,0.710393,2.886377,0.13493,0.32085,0.22936
1702331410289062,-9.335473,0.730393,2.958377,0.3693,0.46685,0.19636
1702331410296875,-9.309473,0.763393,3.19377,0.29793,0.38285,0.13336
1702331410304687,-9.305473,0.769393,2.969377,0.34793,0.37985,0.10136
1702331410312500,-9.315473,0.734393,2.965377,0.36093,0.41685,0.21236
1702331410320312,-9.337473,0.715393,2.992377,0.38893,0.40985,0.27536
1702331410328125,-9.346473,0.712393,3.5377,0.35993,0.38485,0.22836
1702331410335937,-9.342473,0.699393,2.996377,0.29493,0.40385,0.21236
1702331410343750,-9.326473,0.712393,3.3377,0.31093,0.40385,0.24436
1702331410351562,-9.308473,0.716393,3.23377,0.26293,0.36985,0.26136
1702331410359375,-9.297473,0.723393,3.17377,0.27893,0.24885,0.11536
1702331410367187,-9.290473,0.729393,2.983377,0.16493,0.26485,0.21236
1702331410375000,-9.307473,0.749393,2.971377,0.16793,0.27485,0.11736
1702331410382812,-9.306473,0.741393,2.933377,0.16693,0.18385,0.11636
1702331410390625,-9.307473,0.747393,2.926377,0.18393,0.24685,0.2036
1702331410398437,-9.296473,0.745393,2.928377,0.28193,0.27485,0.6836
1702331410406250,-9.300473,0.727393,2.935377,0.21593,0.21585,0.6836
1702331410414062,-9.311473,0.725393,2.951377,0.26393,0.24985,0.3536
1702331410421875,-9.337473,0.708393,2.942377,0.24893,0.27785,0.6836
1702331410429687,-9.353473,0.708393,2.935377,0.28093,0.27785,0.8436
1702331410437500,-9.369473,0.715393,2.935377,0.28093,0.33985,0.11636
1702331410445312,-9.378473,0.722393,2.942377,0.21493,0.34285,0.9936
1702331410453125,-9.395473,0.714393,2.953377,0.24593,0.33385,0.5036
1702331410460937,-9.402473,0.705393,2.958377,0.26093,0.36785,0.11336
1702331410468750,-9.393473,0.727393,2.960377,0.18293,0.40485,0.13136
1702331410476562,-9.378473,0.735393,2.953377,0.11793,0.40785,0.11536
1702331410484375,-9.379473,0.741393,2.956377,0.17293,0.37485,0.3836
1702331410492187,-9.380473,0.735393,2.967377,0.27893,0.41185,0.6636
1702331410500000,-9.385473,0.746393,2.974377,0.29493,0.40785,0.13136
1702331410507812,-9.391473,0.742393,2.985377,0.21593,0.46685,0.11636
1702331410515625,-9.385473,0.740393,3.5377,0.13493,0.52885,0.18036
1702331410523437,-9.385473,0.739393,3.3377,0.23293,0.53785,0.24536
1702331410531250,-9.382473,0.733393,3.14377,0.21593,0.59085,0.16436
1702331410539062,-9.389473,0.740393,3.8377,0.14993,0.65585,0.24436
1702331410546875,-9.369473,0.739393,3.26377,0.10293,0.63485,0.26136
1702331410554687,-9.367473,0.741393,2.958377,0.5693,0.53885,0.14936
