time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1696783178507812,-9.613069,2.609238,-0.11893,,,
1696783178515625,-9.543069,0.3436,2.559238,0.13263,0.794,0.18679
1696783178523437,-9.459069,0.3716,2.504238,0.11723,0.7506,0.24679
1696783178531250,-9.478069,0.4206,2.497238,0.12003,0.16506,0.37079
1696783178539062,-9.666069,0.4046,2.488238,0.12003,0.16006,0.26079
1696783178546875,-9.734069,0.4036,2.443238,0.11723,0.7306,0.19879
1696783178562500,-9.799069,0.5046,2.438238,0.11573,0.9594,0.18779
1696783178570312,-9.799069,0.5386,2.440238,0.11753,0.28294,0.12879
1696783178578125,-9.806069,0.5566,2.451238,0.11923,0.45194,0.10079
1696783178585937,-9.813069,0.5706,2.442238,0.11643,0.48594,0.8479
1696783178609375,-9.785069,0.6696,2.508238,0.12083,0.92094,0.17379
1696783178617187,-9.751069,0.6956,2.506238,0.13163,0.100394,0.14479
1696783178625000,-9.685069,0.7096,2.517238,0.13363,0.110394,0.9879
1696783178632812,-9.636069,0.7176,2.531238,0.14263,0.118594,0.11779
1696783178640625,-9.590069,0.7146,2.524238,0.14113,0.111994,0.8479
1696783178648437,-9.579069,0.7136,2.574238,0.13493,0.111894,0.16279
1696783178656250,-9.608069,0.6856,2.558238,0.14113,0.109994,0.16279
1696783178664062,-9.590069,0.6736,2.570238,0.14103,0.111994,0.11679
1696783178671875,-9.578069,0.6786,2.593238,0.13983,0.108794,0.3579
1696783178679687,-9.561069,0.7006,2.586238,0.13353,0.100794,0.379
1696783178687500,-9.572069,0.6786,2.611238,0.13703,0.103094,0.18521
1696783178695312,-9.577069,0.6756,2.611238,0.13393,0.92094,0.34421
1696783178703125,-9.617069,0.6856,2.611238,0.13423,0.89094,0.45521
1696783178710937,-9.609069,0.7066,2.622238,0.12943,0.87994,0.51721
1696783178718750,-9.622069,0.6986,2.638238,0.12353,0.89594,0.51821
1696783178726562,-9.618069,0.6596,2.620238,0.11723,0.89994,0.53321
1696783178734375,-9.575069,0.6446,2.604238,0.12143,0.85194,0.56421
1696783178742187,-9.554069,0.6366,2.611238,0.11893,0.85494,0.67521
1696783178750000,-9.559069,0.6186,2.601238,0.11733,0.69094,0.77321
1696783178757812,-9.583069,0.6016,2.597238,0.11603,0.63994,0.77521
1696783178765625,-9.605069,0.5686,2.588238,0.11893,0.60694,0.79121
1696783178773437,-9.608069,0.5566,2.565238,0.11883,0.62394,0.77421
1696783178781250,-9.604069,0.5496,2.600238,0.11183,0.55594,0.82521
1696783178789062,-9.652069,0.5226,2.581238,0.10723,0.54394,0.88821
1696783178796875,-9.643069,0.5136,2.561238,0.11763,0.60594,0.79121
1696783178804687,-9.604069,0.5086,2.595238,0.10853,0.64094,0.79121
1696783178812500,-9.634069,0.5136,2.554238,0.11433,0.50394,0.73121
1696783178820312,-9.640069,0.5116,2.543238,0.10823,0.59994,0.60421
1696783178828125,-9.653069,0.4696,2.566238,0.10083,0.57994,0.54321
1696783178835937,-9.665069,0.4646,2.538238,0.10813,0.66294,0.49221
1696783178843750,-9.647069,0.4716,2.563238,0.12003,0.70494,0.33421
1696783178851562,-9.629069,0.4886,2.577238,0.11073,0.70794,0.31821
1696783178859375,-9.674069,0.4736,2.581238,0.11353,0.67294,0.28621
