time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1696783745546875,-9.547805,2.149911,-0.256661,,,
1696783745554687,-9.543805,2.157911,0.265661,0.71535,0.16387,0.1408
1696783745562500,-9.536805,2.173911,0.281661,0.73135,0.17787,0.6592
1696783745570312,-9.536805,2.186911,0.283661,0.69735,0.17887,0.3108
1696783745578125,-9.543805,2.199911,0.274661,0.72035,0.11687,0.3492
1696783745585937,-9.548805,2.200911,0.261661,0.70235,0.3387,0.4992
1696783745601562,-9.537805,2.210911,0.229661,0.70335,0.1413,0.3392
1696783745609375,-9.545805,2.213911,0.213661,0.71135,0.3613,0.4692
1696783745617187,-9.552805,2.220911,0.225661,0.64835,0.1387,0.3092
1696783745625000,-9.546805,2.233911,0.204661,0.57535,0.8113,0.4692
1696783745648437,-9.527805,2.209911,0.216661,0.37735,0.3813,0.608
1696783745656250,-9.532805,2.200911,0.229661,0.30235,0.5113,0.608
1696783745664062,-9.534805,2.189911,0.211661,0.32835,0.2313,0.708
1696783745671875,-9.538805,2.175911,0.222661,0.27035,0.2013,0.2592
1696783745679687,-9.540805,2.169911,0.227661,0.30135,0.413,0.2592
1696783745687500,-9.552805,2.176911,0.236661,0.45835,0.1287,0.1192
1696783745695312,-9.545805,2.180911,0.256661,0.47735,0.6387,0.1808
1696783745703125,-9.532805,2.177911,0.258661,0.44435,0.5013,0.6808
1696783745710937,-9.511805,2.164911,0.229661,0.55935,0.5087,0.4808
1696783745718750,-9.498805,2.168911,0.227661,0.49535,0.6587,0.3408
1696783745726562,-9.511805,2.166911,0.229661,0.44535,0.19387,0.1808
1696783745734375,-9.509805,2.164911,0.247661,0.52335,0.19387,0.3408
1696783745742187,-9.509805,2.162911,0.256661,0.47535,0.12887,0.6708
1696783745750000,-9.516805,2.159911,0.265661,0.45335,0.11887,0.8008
1696783745757812,-9.513805,2.159911,0.263661,0.45035,0.11587,0.3308
1696783745765625,-9.520805,2.160911,0.252661,0.47735,0.11187,0.4592
1696783745773437,-9.536805,2.162911,0.218661,0.54235,0.6387,0.6292
1696783745781250,-9.549805,2.171911,0.216661,0.51635,0.7487,0.3708
1696783745789062,-9.554805,2.180911,0.238661,0.63735,0.8187,0.4892
1696783745796875,-9.563805,2.189911,0.240661,0.58835,0.4787,0.1492
1696783745804687,-9.552805,2.182911,0.249661,0.65635,0.11687,0.192
1696783745812500,-9.536805,2.164911,0.227661,0.61235,0.9287,0.3508
