time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1700498933960937,-7.493661,-3.410628,-0.050778,,,
1700498933968750,-7.344661,-3.505628,-3.34701,0.177164,0.146678,0.362265
1700498933976562,-7.173661,-3.755628,-2.933701,0.143064,0.251778,0.444865
1700498933984375,-7.25661,-4.21628,-2.711701,0.187364,0.307578,0.513165
1700498933992187,-6.943661,-4.185628,-2.463701,0.278564,0.281978,0.541165
1700498934000000,-6.800661,-4.205628,-2.324701,0.347064,0.225278,0.563265
1700498934015625,-6.655661,-3.928628,-2.134701,0.448564,0.88478,0.571265
1700498934023437,-6.730661,-3.690628,-2.93701,0.503964,0.8378,0.562565
1700498934031250,-6.659661,-3.414628,-2.128701,0.510064,0.11122,0.575565
1700498934039062,-6.497661,-3.191628,-2.190701,0.460764,0.30478,0.590065
1700498934062500,-5.721661,-3.774628,-2.65701,0.194564,0.338678,0.706265
1700498934070312,-5.545661,-4.216628,-1.895701,0.180364,0.372778,0.725865
1700498934078125,-5.461661,-4.603628,-1.705701,0.269564,0.316378,0.697765
1700498934085937,-5.391661,-4.737628,-1.546701,0.395764,0.228178,0.656465
1700498934093750,-5.379661,-4.642628,-1.425701,0.537364,0.123578,0.613965
1700498934101562,-5.410661,-4.456628,-1.402701,0.645464,0.11178,0.568365
1700498934109375,-5.463661,-4.244628,-1.483701,0.696664,0.78822,0.554665
1700498934117187,-5.467661,-4.129628,-1.659701,0.710864,0.104122,0.542665
1700498934125000,-5.493661,-4.65628,-1.818701,0.705964,0.90622,0.551965
1700498934132812,-5.630661,-3.982628,-1.909701,0.746764,0.69622,0.556665
1700498934140625,-5.770661,-3.849628,-1.928701,0.834964,0.50022,0.572365
1700498934148437,-5.712661,-3.745628,-1.917701,0.879864,0.19178,0.597965
1700498934156250,-5.572661,-3.714628,-1.846701,0.872664,0.111178,0.630565
1700498934164062,-5.494661,-3.787628,-1.684701,0.867364,0.169078,0.651365
1700498934171875,-5.502661,-3.885628,-1.468701,0.873364,0.177478,0.651365
1700498934179687,-5.550661,-3.865628,-1.277701,0.922664,0.146278,0.637965
1700498934187500,-5.604661,-3.731628,-1.166701,0.971064,0.71678,0.595665
1700498934195312,-5.685661,-3.569628,-1.136701,0.967264,0.5522,0.569265
1700498934203125,-5.861661,-3.437628,-1.220701,0.922764,0.73722,0.524765
1700498934210937,-6.49661,-3.384628,-1.380701,0.841264,0.114322,0.482765
1700498934218750,-6.227661,-3.360628,-1.601701,0.765664,0.100222,0.445565
1700498934226562,-6.354661,-3.381628,-1.827701,0.708164,0.50522,0.409265
1700498934234375,-6.364661,-3.422628,-1.968701,0.633364,0.29078,0.382065
1700498934242187,-6.361661,-3.514628,-1.986701,0.563164,0.129478,0.355665
1700498934250000,-6.411661,-3.670628,-1.895701,0.514464,0.209778,0.325265
1700498934257812,-6.434661,-3.823628,-1.815701,0.467464,0.247878,0.291065
1700498934265625,-6.476661,-3.951628,-1.712701,0.433064,0.254378,0.255965
1700498934273437,-6.569661,-4.74628,-1.705701,0.420164,0.207478,0.225365
1700498934281250,-6.714661,-4.176628,-1.768701,0.404064,0.146778,0.196965
1700498934289062,-6.877661,-4.238628,-1.882701,0.385164,0.111278,0.158165
1700498934296875,-7.97661,-4.251628,-2.33701,0.369164,0.84878,0.130065
1700498934304687,-7.300661,-4.274628,-2.183701,0.357264,0.93278,0.100165
1700498934312500,-7.425661,-4.270628,-2.290701,0.320664,0.159078,0.79565
1700498934320312,-7.580661,-4.290628,-2.299701,0.267064,0.247678,0.57065
1700498934328125,-7.718661,-4.331628,-2.263701,0.228864,0.312478,0.47265
1700498934335937,-7.741661,-4.347628,-2.187701,0.191964,0.397078,0.35665
1700498934343750,-7.673661,-4.361628,-2.103701,0.130764,0.473878,0.13365
1700498934351562,-7.716661,-4.346628,-1.937701,0.83864,0.514278,0.11735
1700498934359375,-7.821661,-4.294628,-1.785701,0.56764,0.509478,0.32135
1700498934367187,-7.845661,-4.211628,-1.698701,0.6664,0.522678,0.53235
1700498934375000,-7.810661,-4.123628,-1.660701,0.73936,0.546278,0.60935
1700498934382812,-7.850661,-4.102628,-1.657701,0.168536,0.553578,0.70735
1700498934390625,-7.870661,-4.143628,-1.705701,0.252236,0.569778,0.85835
1700498934398437,-7.804661,-4.211628,-1.751701,0.340936,0.635078,0.91035
1700498934406250,-7.719661,-4.277628,-1.707701,0.393236,0.714778,0.91535
1700498934414062,-7.719661,-4.282628,-1.532701,0.408736,0.773278,0.94535
1700498934421875,-7.715661,-4.265628,-1.336701,0.427236,0.818078,0.98635
1700498934429687,-7.667661,-4.225628,-1.83701,0.455336,0.868478,0.80935
1700498934437500,-7.729661,-4.187628,0.867701,0.481336,0.841578,0.66335
1700498934445312,-7.792661,-4.216628,0.767701,0.528636,0.807578,0.51835
1700498934453125,-7.767661,-4.202628,0.773701,0.573536,0.807378,0.23535
1700498934460937,-7.761661,-4.162628,0.757701,0.582936,0.818078,0.6635
1700498934468750,-7.800661,-4.122628,0.728701,0.589236,0.812478,0.18365
1700498934476562,-7.795661,-4.106628,0.678701,0.631236,0.869078,0.32965
1700498934484375,-7.763661,-4.127628,0.609701,0.689836,0.916078,0.61465
1700498934492187,-7.814661,-4.218628,0.466701,0.736236,0.956178,0.82365
1700498934500000,-7.878661,-4.322628,0.358701,0.756536,0.978378,0.100665
1700498934507812,-7.798661,-4.379628,0.267701,0.760136,-1.6178,0.126865
1700498934515625,-7.631661,-4.386628,0.176701,0.769736,-1.42178,0.143165
1700498934523437,-7.477661,-4.391628,0.22701,0.780836,-1.81378,0.159465
1700498934531250,-7.408661,-4.412628,0.181299,0.813036,-1.88978,0.160865
1700498934539062,-7.467661,-4.436628,0.397299,0.838936,-1.37078,0.180565
1700498934546875,-7.596661,-4.432628,0.515299,0.853636,0.954078,0.177665
1700498934554687,-7.708661,-4.383628,0.535299,0.863736,0.863778,0.187065
1700498934562500,-7.867661,-4.345628,0.496299,0.911036,0.807778,0.205365
1700498934570312,-8.82661,-4.355628,0.394299,0.970536,0.746978,0.229865
1700498934578125,-8.266661,-4.432628,0.187299,-1.13936,0.733778,0.267865
1700498934585937,-8.352661,-4.518628,0.0,-1.54236,0.784578,0.294765
1700498934593750,-8.474661,-4.534628,0.31701,-1.73236,0.847678,0.321365
1700498934601562,-8.650661,-4.545628,0.64299,-1.75436,0.863678,0.347965
1700498934609375,-8.750661,-4.558628,0.130299,-1.106536,0.912678,0.370265
1700498934617187,-8.723661,-4.547628,0.176299,-1.171336,0.955878,0.392665
1700498934625000,-8.720661,-4.528628,0.228299,-1.206636,0.973778,0.399965
1700498934632812,-8.761661,-4.471628,0.283299,-1.231236,0.966378,0.403365
1700498934640625,-8.767661,-4.403628,0.312299,-1.280036,0.961078,0.417065
1700498934648437,-8.744661,-4.317628,0.264299,-1.354936,0.978178,0.420865
1700498934656250,-8.767661,-4.265628,0.218299,-1.426736,0.972478,0.437765
1700498934664062,-8.778661,-4.319628,0.109299,-1.496836,0.949578,0.448765
1700498934671875,-8.706661,-4.415628,0.58701,-1.589036,0.970378,0.476165
1700498934679687,-8.667661,-4.509628,0.231701,-1.633636,0.975678,0.502365
1700498934687500,-8.604661,-4.638628,0.390701,-1.657236,0.969378,0.535765
1700498934695312,-8.589661,-4.696628,0.545701,-1.666836,0.977078,0.565365
1700498934703125,-8.619661,-4.763628,0.670701,-1.659436,0.937078,0.605365
1700498934710937,-8.710661,-4.852628,0.807701,-1.653936,0.874978,0.654065
1700498934718750,-8.940661,-4.951628,-1.36701,-1.666336,0.760278,0.702265
1700498934726562,-9.156661,-5.60628,-1.457701,-1.675436,0.625378,0.746065
1700498934734375,-9.129661,-5.213628,-2.133701,-1.692736,0.584778,0.792365
1700498934742187,-8.868661,-5.429628,-2.866701,-1.745536,0.657478,0.828265
1700498934750000,-8.474661,-5.816628,-3.425701,-1.814536,0.832378,0.868265
1700498934757812,-8.44661,-6.312628,-3.704701,-1.858536,-1.37678,0.883865
1700498934765625,-7.614661,-6.804628,-3.751701,-1.840936,-1.229078,0.859365
1700498934773437,-7.133661,-7.91628,-3.625701,-1.737036,-1.355378,0.803765
1700498934781250,-6.635661,-7.65628,-3.361701,-1.600536,-1.414278,0.730965
1700498934789062,-6.331661,-6.764628,-3.27701,-1.451036,-1.372478,0.654065
1700498934796875,-6.251661,-6.343628,-2.774701,-1.341136,-1.232178,0.590465
1700498934804687,-6.298661,-5.951628,-2.739701,-1.318536,-1.94478,0.577665
1700498934812500,-6.228661,-5.686628,-3.22701,-1.373436,-1.32878,0.588265
1700498934820312,-5.944661,-5.622628,-3.407701,-1.456836,-1.68978,0.648165
1700498934828125,-5.574661,-5.763628,-3.659701,-1.538336,-1.207078,0.734265
1700498934835937,-5.241661,-6.106628,-3.636701,-1.589636,-1.339478,0.835065
1700498934843750,-4.951661,-6.603628,-3.384701,-1.614936,-1.413878,0.949865
1700498934851562,-4.785661,-7.154628,-3.78701,-1.606536,-1.346478,-1.25265
1700498934859375,-4.885661,-7.639628,-2.933701,-1.540536,-1.90578,-1.80065
1700498934867187,-5.188661,-8.20628,-3.123701,-1.418236,0.718978,-1.106165
1700498934875000,-5.487661,-8.204628,-3.715701,-1.291736,0.402678,-1.129565
1700498934882812,-5.600661,-8.263628,-4.556701,-1.225536,0.249878,-1.142665
1700498934890625,-5.608661,-8.321628,-5.345701,-1.226036,0.297178,-1.152765
1700498934898437,-5.645661,-8.512628,-5.876701,-1.262136,0.526678,-1.139665
1700498934906250,-5.612661,-8.740628,-5.964701,-1.318836,0.842478,-1.120065
1700498934914062,-5.456661,-8.951628,-5.670701,-1.390236,-1.163078,-1.90565
1700498934921875,-5.173661,-9.205628,-5.320701,-1.409136,-1.382878,-1.43365
1700498934929687,-4.820661,-9.398628,-4.928701,-1.346136,-1.466278,0.986865
1700498934937500,-4.371661,-9.362628,-4.482701,-1.295236,-1.562078,0.914365
1700498934945312,-4.97661,-9.207628,-3.925701,-1.258636,-1.540278,0.843965
1700498934953125,-4.207661,-9.119628,-3.469701,-1.244136,-1.382278,0.757865
1700498934960937,-4.430661,-9.37628,-3.287701,-1.248236,-1.202178,0.709565
1700498934968750,-4.532661,-8.884628,-3.388701,-1.260136,-1.43578,0.662465
1700498934976562,-4.660661,-8.748628,-3.634701,-1.284736,0.938578,0.617365
1700498934984375,-4.831661,-8.696628,-3.908701,-1.328136,0.892478,0.581865
1700498934992187,-4.955661,-8.743628,-4.124701,-1.381336,0.932378,0.555565
1700498935000000,-5.9661,-8.940628,-4.251701,-1.435936,0.978778,0.524265
1700498935007812,-4.969661,-9.208628,-4.337701,-1.460536,-1.83378,0.499765
1700498935015625,-4.854661,-9.392628,-4.298701,-1.428336,-1.181778,0.458565
1700498935023437,-4.833661,-9.451628,-4.125701,-1.337536,-1.210278,0.400065
1700498935031250,-4.833661,-9.384628,-3.878701,-1.240736,-1.196478,0.347865
1700498935039062,-4.887661,-9.248628,-3.694701,-1.166436,-1.145678,0.300665
1700498935046875,-5.14661,-9.75628,-3.622701,-1.91936,-1.59778,0.255665
1700498935054687,-5.207661,-8.872628,-3.650701,-1.34336,0.987378,0.218065
1700498935062500,-5.457661,-8.576628,-3.737701,0.968036,0.914878,0.187265
1700498935070312,-5.707661,-8.217628,-3.850701,0.909036,0.879978,0.153365
1700498935078125,-5.877661,-7.845628,-3.928701,0.878636,0.918878,0.141765
1700498935085937,-5.988661,-7.504628,-3.929701,0.898736,0.977178,0.137165
1700498935093750,-6.93661,-7.296628,-3.841701,0.934436,-1.67678,0.145965
1700498935101562,-6.170661,-7.155628,-3.705701,0.979136,-1.146278,0.154865
1700498935109375,-6.139661,-7.69628,-3.563701,-1.22436,-1.207778,0.161265
1700498935117187,-6.69661,-7.12628,-3.406701,-1.53736,-1.256678,0.185365
1700498935125000,-6.52661,-6.936628,-3.233701,-1.78336,-1.264678,0.193065
1700498935132812,-6.80661,-6.863628,-3.83701,-1.94936,-1.240878,0.193365
1700498935140625,-6.98661,-6.802628,-2.994701,-1.125736,-1.236978,0.204565
1700498935148437,-6.64661,-6.725628,-2.963701,-1.159236,-1.233678,0.215065
1700498935156250,-5.989661,-6.717628,-2.949701,-1.186836,-1.243178,0.216365
1700498935164062,-5.889661,-6.719628,-2.908701,-1.215836,-1.295978,0.203965
1700498935171875,-5.774661,-6.712628,-2.822701,-1.220536,-1.337678,0.195165
1700498935179687,-5.713661,-6.717628,-2.660701,-1.197436,-1.356078,0.179065
1700498935187500,-5.598661,-6.675628,-2.498701,-1.169836,-1.384478,0.158165
1700498935195312,-5.376661,-6.604628,-2.293701,-1.142236,-1.420878,0.129365
1700498935203125,-5.453661,-6.456628,-1.911701,-1.91036,-1.369978,0.93065
1700498935210937,-5.935661,-6.237628,-1.545701,0.996036,-1.156378,0.48065
1700498935218750,-6.576661,-5.925628,-1.386701,0.896036,0.850578,0.9765
1700498935226562,-7.99661,-5.434628,-1.731701,0.834336,0.554778,0.16635
1700498935234375,-6.956661,-4.967628,-2.564701,0.800236,0.516478,0.29935
1700498935242187,-6.295661,-4.622628,-3.149701,0.869236,0.843078,0.32635
1700498935250000,-5.758661,-4.431628,-3.70701,0.988036,-1.298778,0.21235
1700498935257812,-5.621661,-4.515628,-2.344701,-1.48136,-1.643278,0.5535
1700498935265625,-5.721661,-4.625628,-1.316701,-1.36036,-1.820978,0.17665
1700498935273437,-5.911661,-4.639628,0.376701,0.999636,-1.769678,0.56465
