time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1700498534031250,-9.566078,-0.796956,2.240285,,,
1700498534039062,-9.560078,0.785956,2.254285,0.1847,0.65908,0.6319
1700498534046875,-9.552078,0.802956,2.272285,0.10147,0.67808,0.3381
1700498534054687,-9.550078,0.812956,2.260285,0.13347,0.72208,0.12719
1700498534062500,-9.550078,0.807956,2.276285,0.7047,0.61508,0.6219
1700498534070312,-9.541078,0.807956,2.299285,0.6947,0.63008,0.9419
1700498534085937,-9.566078,0.780956,2.317285,0.8547,0.58408,0.181
1700498534093750,-9.603078,0.787956,2.303285,0.13047,0.51808,0.3119
1700498534101562,-9.622078,0.797956,2.312285,0.11547,0.53508,0.181
1700498534109375,-9.622078,0.807956,2.270285,0.13147,0.45608,0.1519
1700498534132812,-9.566078,0.821956,2.276285,0.11547,0.62508,0.22419
1700498534140625,-9.581078,0.815956,2.274285,0.13547,0.70808,0.19019
1700498534148437,-9.627078,0.805956,2.251285,0.11447,0.70108,0.28819
1700498534156250,-9.662078,0.812956,2.254285,0.13447,0.69208,0.17419
1700498534164062,-9.682078,0.809956,2.283285,0.8647,0.73908,0.15819
1700498534171875,-9.673078,0.814956,2.263285,0.8447,0.67608,0.9419
1700498534179687,-9.633078,0.828956,2.288285,0.10047,0.78608,0.4619
1700498534187500,-9.601078,0.840956,2.281285,0.6647,0.73908,0.1781
1700498534195312,-9.570078,0.827956,2.301285,0.11447,0.65908,0.4719
1700498534203125,-9.561078,0.814956,2.326285,0.13247,0.69108,0.6219
1700498534210937,-9.546078,0.803956,2.324285,0.11647,0.67708,0.1419
1700498534218750,-9.526078,0.799956,2.330285,0.1847,0.65808,0.9519
1700498534226562,-9.517078,0.804956,2.315285,0.6647,0.65808,0.7919
1700498534234375,-9.530078,0.805956,2.328285,0.10147,0.61308,0.15819
1700498534242187,-9.532078,0.811956,2.326285,0.9347,0.60508,0.9719
1700498534250000,-9.551078,0.817956,2.335285,0.12647,0.65508,0.4819
1700498534257812,-9.555078,0.801956,2.337285,0.11647,0.64408,0.9519
1700498534265625,-9.562078,0.801956,2.335285,0.9747,0.62608,0.4719
1700498534273437,-9.559078,0.794956,2.335285,0.11747,0.59808,0.9419
1700498534281250,-9.555078,0.796956,2.337285,0.14947,0.64608,0.4619
1700498534289062,-9.559078,0.793956,2.333285,0.11947,0.55308,0.12619
1700498534296875,-9.560078,0.790956,2.310285,0.13147,0.57908,0.12719
1700498534304687,-9.568078,0.789956,2.303285,0.11747,0.67708,0.6219
1700498534312500,-9.575078,0.792956,2.308285,0.13247,0.62808,0.9519
1700498534320312,-9.571078,0.814956,2.301285,0.6647,0.57908,0.15919
1700498534328125,-9.574078,0.820956,2.310285,0.7047,0.61408,0.17419
1700498534335937,-9.586078,0.823956,2.317285,0.5247,0.61008,0.23919
1700498534343750,-9.597078,0.813956,2.308285,0.747,0.66108,0.20619
1700498534351562,-9.605078,0.805956,2.328285,0.9847,0.64108,0.15919
1700498534359375,-9.575078,0.795956,2.331285,0.747,0.59908,0.15819
1700498534367187,-9.546078,0.794956,2.328285,0.6947,0.59908,0.6219
1700498534375000,-9.529078,0.807956,2.321285,0.15347,0.57108,0.4519
1700498534382812,-9.524078,0.808956,2.328285,0.1253,0.50408,0.6219
1700498534390625,-9.535078,0.799956,2.330285,0.1747,0.53108,0.12819
1700498534398437,-9.531078,0.793956,2.340285,0.13047,0.58008,0.7919
1700498534406250,-9.530078,0.794956,2.342285,0.11747,0.51908,0.14319
1700498534414062,-9.541078,0.789956,2.326285,0.13647,0.55108,0.22219
1700498534421875,-9.558078,0.772956,2.315285,0.11747,0.54808,0.20719
1700498534429687,-9.562078,0.787956,2.319285,0.13447,0.61208,0.22319
1700498534437500,-9.566078,0.791956,2.308285,0.11947,0.64608,0.14219
1700498534445312,-9.573078,0.798956,2.303285,0.14847,0.54908,0.15919
1700498534453125,-9.568078,0.807956,2.301285,0.13647,0.59808,0.22219
1700498534460937,-9.575078,0.807956,2.285285,0.12047,0.47308,0.20619
1700498534468750,-9.583078,0.828956,2.281285,0.12147,0.50708,0.15719
1700498534476562,-9.572078,0.849956,2.281285,0.8547,0.50308,0.12719
1700498534484375,-9.577078,0.840956,2.288285,0.8547,0.48808,0.14319
1700498534492187,-9.570078,0.838956,2.276285,0.10247,0.42508,0.22319
1700498534500000,-9.585078,0.835956,2.288285,0.4047,0.50508,0.19019
1700498534507812,-9.594078,0.839956,2.285285,0.9047,0.52308,0.15719
1700498534515625,-9.580078,0.818956,2.299285,0.13147,0.50208,0.11119
1700498534523437,-9.576078,0.833956,2.292285,0.8947,0.49008,0.22219
1700498534531250,-9.588078,0.823956,2.299285,0.5247,0.50208,0.17519
1700498534539062,-9.590078,0.795956,2.301285,0.4247,0.50708,0.22119
1700498534546875,-9.586078,0.769956,2.288285,0.847,0.42808,0.17419
1700498534554687,-9.597078,0.781956,2.279285,0.9047,0.43008,0.14119
1700498534562500,-9.597078,0.797956,2.272285,0.13547,0.47608,0.1319
1700498534570312,-9.595078,0.804956,2.263285,0.11947,0.50608,0.7819
1700498534578125,-9.599078,0.817956,2.270285,0.13647,0.47508,0.11019
1700498534585937,-9.601078,0.835956,2.276285,0.11947,0.44308,0.14219
1700498534593750,-9.595078,0.811956,2.272285,0.13347,0.47108,0.22319
1700498534601562,-9.599078,0.811956,2.265285,0.12047,0.44208,0.20619
1700498534609375,-9.600078,0.804956,2.272285,0.10247,0.51908,0.17419
1700498534617187,-9.604078,0.804956,2.265285,0.13347,0.53708,0.1419
1700498534625000,-9.601078,0.801956,2.274285,0.12347,0.52608,0.7619
1700498534632812,-9.599078,0.795956,2.270285,0.11947,0.52208,0.4619
1700498534640625,-9.599078,0.802956,2.270285,0.13447,0.55208,0.9419
1700498534648437,-9.585078,0.826956,2.279285,0.15247,0.58508,0.6119
1700498534656250,-9.585078,0.830956,2.272285,0.12047,0.58508,0.14119
1700498534664062,-9.574078,0.824956,2.254285,0.12147,0.53808,0.12519
1700498534671875,-9.579078,0.814956,2.263285,0.14847,0.55008,0.6319
1700498534679687,-9.589078,0.819956,2.270285,0.17047,0.61908,0.4419
1700498534687500,-9.594078,0.826956,2.258285,0.13547,0.63108,0.11019
1700498534695312,-9.603078,0.806956,2.265285,0.12147,0.67808,0.22219
1700498534703125,-9.607078,0.794956,2.272285,0.13047,0.64208,0.11119
1700498534710937,-9.600078,0.789956,2.256285,0.11647,0.62708,0.15919
1700498534718750,-9.595078,0.789956,2.258285,0.11647,0.62808,0.12719
1700498534726562,-9.582078,0.801956,2.263285,0.13147,0.65808,0.15919
1700498534734375,-9.579078,0.802956,2.265285,0.11747,0.67608,0.11019
1700498534742187,-9.570078,0.829956,2.249285,0.13447,0.60008,0.4619
1700498534750000,-9.547078,0.840956,2.251285,0.12147,0.61708,0.15719
1700498534757812,-9.556078,0.837956,2.240285,0.10547,0.60108,0.12519
1700498534765625,-9.555078,0.841956,2.242285,0.13047,0.64308,0.3119
1700498534773437,-9.556078,0.833956,2.242285,0.8647,0.64608,0.11019
1700498534781250,-9.569078,0.801956,2.231285,0.10547,0.60308,0.7719
1700498534789062,-9.563078,0.791956,2.258285,0.11747,0.63208,0.1781
1700498534796875,-9.582078,0.759956,2.274285,0.8847,0.55508,0.4519
1700498534804687,-9.586078,0.760956,2.272285,0.10347,0.60108,0.6119
1700498534812500,-9.590078,0.768956,2.285285,0.13747,0.51008,0.6781
1700498534820312,-9.591078,0.791956,2.267285,0.11747,0.56708,0.9419
1700498534828125,-9.606078,0.824956,2.240285,0.14847,0.61408,0.3019
1700498534835937,-9.597078,0.840956,2.245285,0.13247,0.55008,0.7919
1700498534843750,-9.572078,0.847956,2.242285,0.11747,0.61208,0.15919
1700498534851562,-9.560078,0.835956,2.242285,0.13647,0.66208,0.15819
1700498534859375,-9.581078,0.833956,2.236285,0.11947,0.58308,0.19019
1700498534867187,-9.603078,0.808956,2.227285,0.10547,0.66208,0.20619
1700498534875000,-9.631078,0.806956,2.267285,0.13247,0.64408,0.9519
1700498534882812,-9.649078,0.822956,2.252285,0.11447,0.70508,0.9519
1700498534890625,-9.633078,0.801956,2.258285,0.6947,0.72308,0.12619
1700498534898437,-9.609078,0.798956,2.276285,0.5047,0.70308,0.19219
1700498534906250,-9.597078,0.809956,2.254285,0.6847,0.69108,0.14319
1700498534914062,-9.572078,0.810956,2.263285,0.12247,0.70908,0.25319
1700498534921875,-9.561078,0.804956,2.267285,0.12147,0.64808,0.15719
1700498534929687,-9.536078,0.818956,2.276285,0.11947,0.64508,0.20619
1700498534937500,-9.532078,0.829956,2.283285,0.12047,0.66108,0.19019
1700498534945312,-9.547078,0.831956,2.279285,0.12147,0.61508,0.22219
1700498534953125,-9.551078,0.844956,2.285285,0.9047,0.60208,0.17319
1700498534960937,-9.572078,0.838956,2.279285,0.11847,0.59808,0.14219
1700498534968750,-9.583078,0.835956,2.283285,0.8747,0.56808,0.15819
1700498534976562,-9.589078,0.807956,2.272285,0.8447,0.58008,0.15919
1700498534984375,-9.591078,0.809956,2.276285,0.13347,0.56508,0.15919
1700498534992187,-9.595078,0.824956,2.258285,0.11747,0.58208,0.6219
1700498535000000,-9.581078,0.813956,2.258285,0.13447,0.61308,0.20719
1700498535007812,-9.573078,0.816956,2.265285,0.11547,0.65808,0.15919
1700498535015625,-9.592078,0.808956,2.272285,0.10347,0.66208,0.14219
1700498535023437,-9.591078,0.807956,2.279285,0.13347,0.62908,0.11019
1700498535031250,-9.595078,0.814956,2.272285,0.10047,0.61108,0.17519
1700498535039062,-9.592078,0.820956,2.281285,0.10047,0.66208,0.1419
1700498535046875,-9.602078,0.804956,2.281285,0.8547,0.67508,0.15919
1700498535054687,-9.606078,0.813956,2.294285,0.3447,0.65808,0.14319
1700498535062500,-9.602078,0.802956,2.288285,0.11747,0.64308,0.17519
1700498535070312,-9.583078,0.797956,2.283285,0.9547,0.68508,0.16019
1700498535078125,-9.560078,0.815956,2.281285,0.14547,0.65508,0.14419
1700498535085937,-9.571078,0.808956,2.279285,0.11247,0.62308,0.17619
1700498535093750,-9.568078,0.812956,2.254285,0.13147,0.56508,0.9519
1700498535101562,-9.586078,0.811956,2.274285,0.13547,0.58308,0.14219
1700498535109375,-9.586078,0.805956,2.274285,0.11647,0.59708,0.9519
1700498535117187,-9.600078,0.798956,2.281285,0.13047,0.71908,0.11119
1700498535125000,-9.594078,0.790956,2.276285,0.14747,0.64108,0.15919
1700498535132812,-9.587078,0.787956,2.267285,0.11547,0.61108,0.11119
1700498535140625,-9.588078,0.780956,2.276285,0.13547,0.59908,0.12619
1700498535148437,-9.595078,0.793956,2.270285,0.11647,0.70708,0.9419
1700498535156250,-9.584078,0.816956,2.258285,0.13147,0.67408,0.11119
1700498535164062,-9.593078,0.854956,2.242285,0.11347,0.64108,0.11219
1700498535171875,-9.593078,0.864956,2.247285,0.10947,0.66708,0.16119
1700498535179687,-9.596078,0.855956,2.261285,0.13447,0.66208,0.7819
1700498535187500,-9.579078,0.847956,2.274285,0.11647,0.72108,0.12719
1700498535195312,-9.588078,0.843956,2.272285,0.13047,0.67208,0.15919
1700498535203125,-9.591078,0.812956,2.263285,0.3347,0.67108,0.20819
1700498535210937,-9.584078,0.794956,2.272285,0.8447,0.65708,0.20719
1700498535218750,-9.571078,0.790956,2.249285,0.5147,0.67308,0.22319
1700498535226562,-9.577078,0.807956,2.251285,0.2853,0.64308,0.19119
1700498535234375,-9.589078,0.827956,2.272285,0.6647,0.65708,0.19219
1700498535242187,-9.587078,0.839956,2.279285,0.11947,0.67708,0.14219
1700498535250000,-9.596078,0.877956,2.294285,0.1053,0.72208,0.20619
1700498535257812,-9.599078,0.891956,2.281285,0.4453,0.67208,0.25519
1700498535265625,-9.605078,0.875956,2.303285,0.347,0.65808,0.17519
1700498535273437,-9.599078,0.821956,2.312285,0.953,0.74008,0.15819
1700498535281250,-9.577078,0.802956,2.292285,0.8547,0.69108,0.17519
1700498535289062,-9.570078,0.786956,2.294285,0.2447,0.69508,0.12519
1700498535296875,-9.566078,0.796956,2.290285,0.13447,0.67608,0.17419
1700498535304687,-9.551078,0.805956,2.292285,0.6547,0.67408,0.3119
1700498535312500,-9.543078,0.813956,2.288285,0.2447,0.69408,0.14119
1700498535320312,-9.542078,0.820956,2.276285,0.5647,0.66508,0.6119
1700498535328125,-9.545078,0.834956,2.283285,0.10147,0.66008,0.12619
1700498535335937,-9.554078,0.840956,2.267285,0.5247,0.69108,0.11019
1700498535343750,-9.574078,0.842956,2.272285,0.8447,0.67408,0.19119
1700498535351562,-9.566078,0.845956,2.240285,0.6647,0.67208,0.20819
1700498535359375,-9.579078,0.835956,2.265285,0.2347,0.63008,0.22219
1700498535367187,-9.577078,0.816956,2.272285,0.9947,0.64208,0.15919
1700498535375000,-9.592078,0.808956,2.267285,0.11947,0.64708,0.9319
1700498535382812,-9.588078,0.800956,2.281285,0.10347,0.66108,0.15819
1700498535390625,-9.595078,0.802956,2.274285,0.13447,0.64508,0.14219
1700498535398437,-9.591078,0.812956,2.292285,0.12947,0.65808,0.6319
1700498535406250,-9.581078,0.820956,2.288285,0.11847,0.64408,0.17519
1700498535414062,-9.573078,0.809956,2.276285,0.10047,0.64308,0.15919
1700498535421875,-9.566078,0.818956,2.288285,0.11847,0.70708,0.20619
1700498535429687,-9.562078,0.846956,2.283285,0.5547,0.70908,0.14219
1700498535437500,-9.565078,0.845956,2.283285,0.13347,0.70608,0.17519
1700498535445312,-9.565078,0.861956,2.290285,0.5247,0.65708,0.27119
1700498535453125,-9.551078,0.862956,2.285285,0.10447,0.63008,0.19019
1700498535460937,-9.565078,0.858956,2.288285,0.13247,0.73608,0.19119
1700498535468750,-9.565078,0.838956,2.272285,0.6847,0.73708,0.17519
1700498535476562,-9.573078,0.830956,2.265285,0.147,0.67208,0.12719
1700498535484375,-9.593078,0.809956,2.254285,0.3647,0.65908,0.15919
1700498535492187,-9.606078,0.807956,2.256285,0.5147,0.70508,0.14319
1700498535500000,-9.573078,0.811956,2.265285,0.11647,0.66008,0.9419
1700498535507812,-9.566078,0.796956,2.263285,0.8347,0.61108,0.9519
1700498535515625,-9.568078,0.789956,2.267285,0.8447,0.64408,0.11019
1700498535523437,-9.569078,0.793956,2.297285,0.9747,0.57708,0.16019
1700498535531250,-9.592078,0.797956,2.301285,0.8147,0.60808,0.17619
1700498535539062,-9.618078,0.794956,2.310285,0.9747,0.65608,0.14419
1700498535546875,-9.633078,0.799956,2.317285,0.18347,0.61408,0.14219
1700498535554687,-9.638078,0.802956,2.279285,0.16447,0.65808,0.19119
1700498535562500,-9.620078,0.825956,2.299285,0.17947,0.60908,0.17619
1700498535570312,-9.581078,0.851956,2.285285,0.11747,0.62708,0.17519
1700498535578125,-9.552078,0.856956,2.281285,0.13247,0.65908,0.9519
1700498535585937,-9.563078,0.861956,2.276285,0.11547,0.64208,0.14319
1700498535593750,-9.590078,0.862956,2.256285,0.13347,0.67508,0.14219
1700498535601562,-9.621078,0.866956,2.274285,0.8247,0.65808,0.7919
1700498535609375,-9.634078,0.863956,2.274285,0.347,0.67508,0.9419
1700498535617187,-9.633078,0.862956,2.270285,0.6547,0.63908,0.22419
1700498535625000,-9.619078,0.859956,2.276285,0.3647,0.76708,0.22319
1700498535632812,-9.594078,0.830956,2.294285,0.753,0.72408,0.25419
1700498535640625,-9.566078,0.822956,2.306285,0.3747,0.72108,0.25519
1700498535648437,-9.546078,0.814956,2.319285,0.8447,0.70408,0.22319
1700498535656250,-9.544078,0.810956,2.337285,0.6547,0.75008,0.16019
1700498535664062,-9.544078,0.819956,2.344285,0.6647,0.68808,0.16019
1700498535671875,-9.548078,0.828956,2.330285,0.8247,0.65708,0.19219
1700498535679687,-9.557078,0.829956,2.331285,0.5247,0.67408,0.20719
1700498535687500,-9.565078,0.826956,2.328285,0.4053,0.66208,0.20619
1700498535695312,-9.554078,0.851956,2.319285,0.3847,0.66108,0.15819
1700498535703125,-9.554078,0.849956,2.308285,0.5447,0.67608,0.20619
1700498535710937,-9.557078,0.843956,2.308285,0.11447,0.70208,0.22419
1700498535718750,-9.574078,0.835956,2.312285,0.12147,0.63108,0.23819
1700498535726562,-9.562078,0.803956,2.315285,0.11747,0.65808,0.20719
1700498535734375,-9.564078,0.794956,2.310285,0.13347,0.67408,0.22319
1700498535742187,-9.582078,0.774956,2.303285,0.11847,0.67508,0.22319
1700498535750000,-9.573078,0.771956,2.306285,0.10247,0.65908,0.23919
1700498535757812,-9.578078,0.778956,2.292285,0.13247,0.68908,0.20719
1700498535765625,-9.567078,0.790956,2.297285,0.13147,0.71908,0.22419
1700498535773437,-9.561078,0.805956,2.308285,0.19947,0.66008,0.20619
1700498535781250,-9.553078,0.803956,2.308285,0.16547,0.67408,0.22319
1700498535789062,-9.564078,0.805956,2.303285,0.11947,0.69108,0.20619
1700498535796875,-9.564078,0.812956,2.306285,0.19747,0.65708,0.23919
1700498535804687,-9.559078,0.814956,2.303285,0.11847,0.67608,0.17419
1700498535812500,-9.524078,0.810956,2.321285,0.21447,0.67408,0.22319
1700498535820312,-9.515078,0.808956,2.306285,0.13347,0.70508,0.22319
1700498535828125,-9.532078,0.805956,2.315285,0.11847,0.67508,0.20719
1700498535835937,-9.541078,0.793956,2.319285,0.15647,0.63308,0.25319
1700498535843750,-9.554078,0.809956,2.321285,0.21747,0.61508,0.22219
1700498535851562,-9.584078,0.809956,2.326285,0.16747,0.55008,0.22219
1700498535859375,-9.584078,0.807956,2.299285,0.23147,0.59708,0.20619
1700498535867187,-9.588078,0.815956,2.303285,0.13447,0.65908,0.22319
1700498535875000,-9.573078,0.816956,2.290285,0.21247,0.65708,0.20819
1700498535882812,-9.564078,0.805956,2.297285,0.24647,0.67508,0.17519
1700498535890625,-9.562078,0.789956,2.331285,0.19947,0.55008,0.22219
1700498535898437,-9.552078,0.795956,2.328285,0.28247,0.56908,0.17319
1700498535906250,-9.550078,0.803956,2.321285,0.24947,0.58208,0.23819
1700498535914062,-9.557078,0.796956,2.328285,0.31547,0.52108,0.25419
1700498535921875,-9.586078,0.797956,2.328285,0.28247,0.55208,0.20619
1700498535929687,-9.580078,0.805956,2.315285,0.31147,0.59608,0.22319
1700498535937500,-9.582078,0.809956,2.308285,0.16647,0.58108,0.22319
1700498535945312,-9.592078,0.810956,2.303285,0.19447,0.49808,0.20819
1700498535953125,-9.595078,0.806956,2.315285,0.16947,0.47308,0.25419
1700498535960937,-9.598078,0.802956,2.312285,0.23147,0.56508,0.25519
1700498535968750,-9.593078,0.786956,2.315285,0.31347,0.55208,0.20619
1700498535976562,-9.591078,0.765956,2.324285,0.29747,0.50208,0.36719
1700498535984375,-9.602078,0.764956,2.333285,0.36347,0.61308,0.31819
1700498535992187,-9.602078,0.733956,2.328285,0.39647,0.63008,0.33419
1700498536000000,-9.605078,0.713956,2.331285,0.44347,0.56508,0.35119
1700498536007812,-9.610078,0.698956,2.317285,0.49147,0.73608,0.38319
1700498536015625,-9.606078,0.725956,2.306285,0.52147,0.67308,0.36719
1700498536023437,-9.600078,0.737956,2.310285,0.55847,0.70908,0.33419
1700498536031250,-9.585078,0.756956,2.301285,0.57147,0.69008,0.31919
1700498536039062,-9.571078,0.789956,2.312285,0.58547,0.69008,0.25519
1700498536046875,-9.567078,0.801956,2.308285,0.58547,0.64108,0.32019
1700498536054687,-9.583078,0.817956,2.303285,0.60647,0.69308,0.28619
1700498536062500,-9.590078,0.849956,2.317285,0.61647,0.68808,0.27219
1700498536070312,-9.589078,0.841956,2.301285,0.61547,0.67208,0.24019
1700498536078125,-9.573078,0.823956,2.301285,0.50547,0.65908,0.27119
1700498536085937,-9.586078,0.802956,2.306285,0.57047,0.67408,0.27119
1700498536093750,-9.587078,0.805956,2.297285,0.56747,0.67108,0.27219
1700498536101562,-9.592078,0.799956,2.297285,0.62247,0.70908,0.30219
1700498536109375,-9.604078,0.802956,2.283285,0.55347,0.69008,0.25519
1700498536117187,-9.580078,0.810956,2.279285,0.42147,0.67108,0.24019
1700498536125000,-9.597078,0.820956,2.303285,0.50647,0.72308,0.22219
1700498536132812,-9.577078,0.825956,2.294285,0.37747,0.70608,0.27119
1700498536140625,-9.574078,0.836956,2.303285,0.36047,0.67508,0.22319
1700498536148437,-9.575078,0.840956,2.301285,0.37547,0.72108,0.25519
1700498536156250,-9.596078,0.845956,2.303285,0.40347,0.70008,0.27319
1700498536164062,-9.601078,0.842956,2.306285,0.45647,0.69008,0.22319
1700498536171875,-9.604078,0.808956,2.303285,0.37747,0.67608,0.23819
1700498536179687,-9.598078,0.809956,2.317285,0.39047,0.70508,0.19119
1700498536187500,-9.608078,0.806956,2.308285,0.32747,0.69208,0.11019
1700498536195312,-9.581078,0.795956,2.310285,0.28247,0.72508,0.20619
1700498536203125,-9.571078,0.809956,2.321285,0.29447,0.76708,0.25519
1700498536210937,-9.575078,0.809956,2.317285,0.26347,0.79908,0.27119
1700498536218750,-9.564078,0.817956,2.319285,0.24447,0.74908,0.28819
1700498536226562,-9.559078,0.813956,2.328285,0.18447,0.86308,0.28619
1700498536234375,-9.561078,0.816956,2.324285,0.24747,0.75108,0.30319
1700498536242187,-9.580078,0.805956,2.319285,0.32647,0.79908,0.22319
1700498536250000,-9.589078,0.798956,2.324285,0.37547,0.78208,0.32019
1700498536257812,-9.589078,0.785956,2.333285,0.35747,0.79608,0.28819
1700498536265625,-9.589078,0.767956,2.317285,0.32447,0.78208,0.17619
1700498536273437,-9.587078,0.742956,2.340285,0.26347,0.72208,0.22319
1700498536281250,-9.587078,0.765956,2.326285,0.26247,0.72108,0.20719
1700498536289062,-9.585078,0.785956,2.340285,0.13147,0.76508,0.22419
1700498536296875,-9.578078,0.797956,2.346285,0.19347,0.77908,0.20819
1700498536304687,-9.568078,0.816956,2.333285,0.16747,0.72208,0.22219
1700498536312500,-9.566078,0.814956,2.337285,0.14747,0.78208,0.20719
1700498536320312,-9.564078,0.801956,2.335285,0.18047,0.76608,0.25519
