time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1700498598000000,-9.423814,2.286475,-0.039381,,,
1700498598007812,-9.423814,0.821292,2.302475,0.5855,0.32581,0.19476
1700498598015625,-9.428814,0.841292,2.329475,0.12855,0.36381,0.18076
1700498598023437,-9.439814,0.826292,2.336475,0.18155,0.32681,0.19376
1700498598031250,-9.459814,0.831292,2.343475,0.14755,0.31381,0.13076
1700498598039062,-9.486814,0.829292,2.329475,0.14255,0.39981,0.10176
1700498598054687,-9.502814,0.838292,2.338475,0.6855,0.34681,0.14776
1700498598062500,-9.502814,0.827292,2.340475,0.11855,0.34381,0.21076
1700498598070312,-9.492814,0.813292,2.336475,0.6555,0.31481,0.24576
1700498598078125,-9.483814,0.807292,2.318475,0.1455,0.31681,0.26376
1700498598101562,-9.472814,0.818292,2.291475,0.14155,0.33181,0.26176
1700498598109375,-9.459814,0.817292,2.302475,0.17955,0.27881,0.24276
1700498598117187,-9.459814,0.815292,2.302475,0.26255,0.27681,0.20776
1700498598125000,-9.472814,0.808292,2.304475,0.24155,0.32881,0.22576
1700498598132812,-9.481814,0.820292,2.322475,0.25855,0.24681,0.19276
1700498598140625,-9.481814,0.815292,2.318475,0.24255,0.29581,0.20976
1700498598148437,-9.481814,0.806292,2.329475,0.24155,0.31181,0.22576
1700498598156250,-9.488814,0.806292,2.331475,0.19655,0.24681,0.16176
1700498598164062,-9.488814,0.813292,2.325475,0.23655,0.34881,0.17976
1700498598171875,-9.479814,0.815292,2.329475,0.13155,0.34481,0.27576
1700498598179687,-9.483814,0.809292,2.327475,0.17855,0.39381,0.22676
1700498598187500,-9.474814,0.804292,2.329475,0.19455,0.34481,0.25876
1700498598195312,-9.472814,0.813292,2.331475,0.14455,0.34581,0.27576
1700498598203125,-9.481814,0.806292,2.331475,0.22755,0.34381,0.27376
1700498598210937,-9.470814,0.809292,2.329475,0.22155,0.31681,0.19576
1700498598218750,-9.466814,0.817292,2.336475,0.23955,0.29681,0.25876
1700498598226562,-9.475814,0.813292,2.336475,0.21055,0.26181,0.32176
1700498598234375,-9.470814,0.804292,2.343475,0.22755,0.29381,0.28976
1700498598242187,-9.481814,0.813292,2.349475,0.21055,0.35981,0.32276
1700498598250000,-9.481814,0.806292,2.340475,0.24355,0.26181,0.25676
1700498598257812,-9.486814,0.806292,2.343475,0.27255,0.31181,0.25776
1700498598265625,-9.492814,0.813292,2.343475,0.17655,0.36281,0.24376
1700498598273437,-9.503814,0.807292,2.329475,0.18755,0.31781,0.19676
1700498598281250,-9.488814,0.813292,2.329475,0.17255,0.36481,0.24476
1700498598289062,-9.486814,0.817292,2.336475,0.22855,0.32681,0.22576
1700498598296875,-9.490814,0.822292,2.345475,0.15655,0.28481,0.22976
1700498598304687,-9.499814,0.822292,2.354475,0.19555,0.29581,0.19376
1700498598312500,-9.486814,0.827292,2.343475,0.28655,0.28281,0.17776
1700498598320312,-9.470814,0.808292,2.318475,0.25855,0.29581,0.17676
1700498598328125,-9.463814,0.806292,2.318475,0.27055,0.29881,0.19476
1700498598335937,-9.449814,0.795292,2.295475,0.23855,0.34981,0.9876
1700498598343750,-9.445814,0.804292,2.295475,0.25355,0.28381,0.17876
1700498598351562,-9.452814,0.788292,2.293475,0.26955,0.23281,0.25876
1700498598359375,-9.465814,0.795292,2.297475,0.25155,0.26681,0.24376
1700498598367187,-9.465814,0.788292,2.295475,0.28255,0.27481,0.17376
1700498598375000,-9.466814,0.794292,2.298475,0.27155,0.32081,0.10876
1700498598382812,-9.468814,0.817292,2.322475,0.25955,0.40981,0.17776
1700498598390625,-9.479814,0.833292,2.349475,0.27655,0.34381,0.16076
1700498598398437,-9.484814,0.842292,2.349475,0.26055,0.39281,0.17776
1700498598406250,-9.482814,0.833292,2.336475,0.27655,0.36081,0.16076
1700498598414062,-9.493814,0.815292,2.345475,0.29355,0.32781,0.7976
1700498598421875,-9.498814,0.840292,2.365475,0.26555,0.32481,0.12676
1700498598429687,-9.484814,0.851292,2.410475,0.26355,0.37581,0.9576
1700498598437500,-9.493814,0.833292,2.397475,0.27855,0.36081,0.4776
1700498598445312,-9.483814,0.784292,2.295475,0.20955,0.29881,0.11476
1700498598453125,-9.468814,0.831292,2.354475,0.23055,0.29481,0.11276
1700498598460937,-9.497814,0.838292,2.399475,0.25855,0.27981,0.17676
1700498598468750,-9.501814,0.800292,2.352475,0.24555,0.18181,0.9576
1700498598476562,-9.472814,0.777292,2.221475,0.6155,0.16081,0.19276
1700498598484375,-9.450814,0.806292,2.295475,0.23555,0.29081,0.14276
1700498598492187,-9.446814,0.823292,2.386475,0.29755,0.33981,0.17476
1700498598500000,-9.452814,0.810292,2.383475,0.40355,0.32781,0.7876
1700498598507812,-9.459814,0.790292,2.349475,0.38955,0.27781,0.9376
1700498598515625,-9.475814,0.806292,2.343475,0.42755,0.22481,0.9076
1700498598523437,-9.486814,0.830292,2.372475,0.41255,0.19181,0.7476
1700498598531250,-9.500814,0.849292,2.388475,0.30855,0.21281,0.14276
1700498598539062,-9.496814,0.866292,2.386475,0.28055,0.11381,0.10976
1700498598546875,-9.514814,0.862292,2.356475,0.20455,0.12881,0.10976
1700498598554687,-9.498814,0.851292,2.338475,0.9755,0.14381,0.7876
1700498598562500,-9.490814,0.826292,2.302475,0.13755,0.19681,0.9676
1700498598570312,-9.457814,0.816292,2.293475,0.11755,0.18881,0.9276
1700498598578125,-9.436814,0.812292,2.289475,0.15455,0.29381,0.8076
1700498598585937,-9.418814,0.812292,2.280475,0.9155,0.22781,0.11276
1700498598593750,-9.419814,0.818292,2.295475,0.255,0.27281,0.16076
1700498598601562,-9.419814,0.825292,2.286475,0.3055,0.25781,0.20876
1700498598609375,-9.430814,0.823292,2.284475,0.655,0.18181,0.21176
1700498598617187,-9.448814,0.828292,2.291475,0.3755,0.14981,0.22776
1700498598625000,-9.468814,0.831292,2.320475,0.7055,0.16481,0.22676
1700498598632812,-9.486814,0.829292,2.336475,0.955,0.13181,0.16276
1700498598640625,-9.499814,0.822292,2.329475,0.2855,0.16181,0.19376
