,,head,lowerback,torso
Area,mean,81430615.3507468,56587862.62775546,40269982.5739261
Area,std,88657025.5143878,88354176.31629479,47535024.059544906
Area,min,2534585.178676876,692648.3329869199,2285372.51807827
Area,Q1,18306410.94339002,10757633.035479238,12879285.128537014
Area,Q3,118799513.04672602,51887390.768065885,48430032.65024953
Area,max,487271057.62041456,554619340.1603694,271814406.98360515
Jerk X,mean,5.300599574575402e-08,1.1569206307094296e-07,2.9559665931037027e-07
Jerk X,std,2.0571619158439878e-07,6.549036221045303e-07,7.660116669249219e-07
Jerk X,min,-5.200913524753987e-07,-2.420089647233719e-06,-3.143566413930496e-06
Jerk X,Q1,-4.294018046174942e-09,-8.514124407917195e-09,1.7458302975042992e-08
Jerk X,Q3,1.1230020367506573e-07,1.5031223733824327e-07,3.811930067372559e-07
Jerk X,max,8.865054634790384e-07,5.701713864873498e-06,2.802916941567817e-06
Jerk Y,mean,1.09848296057515e-07,-2.2338524877843654e-08,-1.1200256730805468e-07
Jerk Y,std,5.317715696659007e-07,4.0533030234190747e-07,4.4338281862230854e-07
Jerk Y,min,-1.6800261479285195e-06,-3.0685663083326136e-06,-2.286905588764292e-06
Jerk Y,Q1,-3.25819616276786e-08,-3.920855173198833e-08,-1.6003812401824005e-07
Jerk Y,Q3,1.5651900879126856e-07,6.78486089013493e-08,2.7511750821739817e-08
Jerk Y,max,2.356461030185214e-06,1.1977042517378896e-06,1.1707203987167404e-06
Jerk Z,mean,-3.600405865717058e-08,-9.507008030019772e-09,2.6816485374117793e-08
Jerk Z,std,2.0897173093818828e-07,2.1490079008173252e-07,2.424132642015195e-07
Jerk Z,min,-1.103256287959853e-06,-1.1100862922128528e-06,-8.880978845724875e-07
Jerk Z,Q1,-3.8819034387365e-08,-9.548259841454369e-09,-2.984965947182327e-08
Jerk Z,Q3,8.193204159541218e-09,1.1237831381670485e-08,8.557093003413563e-09
Jerk Z,max,1.0430173471134746e-06,8.633398550584968e-07,1.227807072924483e-06
RMS Acceleration,mean,3.412539603107359,2.1957392654159342,2.5532264507397264
RMS Acceleration,std,2.1923785343696647,1.602875231610666,2.4369414171378376
RMS Acceleration,min,0.5776337409050555,0.0841691558980129,0.1355885821169964
RMS Acceleration,Q1,1.7858000938954504,0.917168840004339,0.8400066761446093
RMS Acceleration,Q3,5.020011831211245,3.121833093490103,3.648165067296616
RMS Acceleration,max,9.912569358628389,7.673886019464117,10.297250726133257
RMS Angular Velocity,mean,25390.08868566245,0.918183075401844,0.942666235793392
RMS Angular Velocity,std,94164.83084486642,0.3316052137180152,0.3507477903281572
