time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694110563937500,-10.16803,-0.619744,,,,
1694110563945312,-10.10303,0.582744,0.308055,0.2139,0.40726,0.81392
1694110563953125,-10.8503,0.540744,0.297055,0.309,0.41126,0.81492
1694110563960937,-10.4703,0.482744,0.310055,0.121,0.46226,0.87792
1694110563968750,-9.96203,0.468744,0.342055,0.19,0.52826,0.81292
1694110563976562,-9.96003,0.437744,0.360055,0.151,0.46126,0.79892
1694110563992187,-10.103,0.403744,0.426055,0.449,0.42226,0.70492
1694110564000000,-10.303,0.432744,0.467055,0.1679,0.43826,0.75092
1694110564007812,-10.3403,0.408744,0.486055,0.2169,0.41826,0.81592
1694110564015625,-10.4203,0.362744,0.499055,0.3209,0.43726,0.79692
1694110564039062,-10.3103,0.405744,0.479055,0.6419,0.45526,0.93492
1694110564046875,-9.95703,0.459744,0.459055,0.7239,0.46926,0.106192
1694110564054687,-9.88103,0.536744,0.440055,0.6599,0.45326,0.98292
1694110564062500,-9.91003,0.569744,0.418055,0.6729,0.33126,0.87592
1694110564070312,-10.1603,0.574744,0.390055,0.5209,0.26526,0.89492
1694110564078125,-10.5703,0.618744,0.356055,0.5049,0.31526,0.84592
1694110564085937,-10.10203,0.640744,0.340055,0.4889,0.33226,0.81392
1694110564093750,-10.11703,0.664744,0.329055,0.3669,0.40226,0.79792
1694110564101562,-10.12803,0.713744,0.295055,0.2599,0.47326,0.81192
1694110564109375,-10.26403,0.731744,0.281055,0.2129,0.40826,0.81392
1694110564117187,-10.31203,0.708744,0.315055,0.319,0.40826,0.79992
1694110564125000,-10.28703,0.653744,0.340055,0.29,0.52726,0.82892
1694110564132812,-10.39103,0.589744,0.333055,0.131,0.63426,0.88892
1694110564140625,-10.40703,0.576744,0.347055,0.9,0.73926,0.91692
1694110564148437,-10.32303,0.557744,0.329055,0.369,0.92726,0.105492
1694110564156250,-10.24903,0.536744,0.335055,0.1449,0.100126,0.122492
1694110564164062,-10.15003,0.497744,0.397055,0.2839,0.108226,0.125392
1694110564171875,-10.10003,0.464744,0.417055,0.4379,0.122626,0.120292
1694110564179687,-10.403,0.532744,0.463055,0.5279,0.125726,0.115392
1694110564187500,-9.92303,0.633744,0.488055,0.6649,0.119426,0.99892
1694110564195312,-9.88203,0.706744,0.525055,0.7359,0.112626,0.88892
1694110564203125,-9.98503,0.767744,0.564055,0.7199,0.110426,0.79492
1694110564210937,-9.96803,0.836744,0.596055,0.7359,0.113126,0.71692
1694110564218750,-9.90003,0.875744,0.612055,0.7049,0.106726,0.74992
1694110564226562,-9.92203,0.874744,0.639055,0.5669,0.93426,0.73792
1694110564234375,-9.97703,0.840744,0.660055,0.4899,0.78426,0.74192
1694110564242187,-9.98503,0.762744,0.653055,0.4769,0.83626,0.78792
1694110564250000,-9.99703,0.693744,0.675055,0.4329,0.84126,0.91392
1694110564257812,-9.98003,0.626744,0.677055,0.4939,0.90926,0.92792
1694110564265625,-9.90603,0.592744,0.668055,0.4799,0.99726,0.98792
1694110564273437,-9.87803,0.589744,0.641055,0.4969,0.86326,0.108592
1694110564281250,-9.82803,0.623744,0.611055,0.4829,0.81626,0.114992
1694110564289062,-9.79503,0.625744,0.618055,0.4489,0.70426,0.118292
1694110564296875,-9.74503,0.610744,0.639055,0.4479,0.72026,0.111892
1694110564304687,-9.70603,0.581744,0.655055,0.3429,0.63126,0.107592
1694110564312500,-9.72003,0.570744,0.643055,0.4329,0.56426,0.107592
1694110564320312,-9.77203,0.587744,0.614055,0.3719,0.45126,0.114192
1694110564328125,-9.87803,0.612744,0.575055,0.4349,0.40326,0.126792
1694110564335937,-9.94603,0.642744,0.573055,0.4359,0.26826,0.130292
1694110564343750,-9.96603,0.653744,0.543055,0.4079,0.32826,0.148992
1694110564351562,-10.1803,0.653744,0.564055,0.4859,0.34726,0.159892
1694110564359375,-10.6103,0.701744,0.532055,0.4569,0.40226,0.167592
1694110564367187,-10.3703,0.779744,0.509055,0.5679,0.49126,0.187792
1694110564375000,-10.4803,0.829744,0.502055,0.5209,0.54426,0.187692
1694110564382812,-9.94303,0.917744,0.480055,0.4909,0.65126,0.195192
1694110564390625,-9.83503,0.997744,0.462055,0.5059,0.66726,0.193592
1694110564398437,-9.84803,-1.45744,0.466055,0.4769,0.59626,0.192292
1694110564406250,-9.88703,-1.20744,0.473055,0.4729,0.61126,0.178092
1694110564414062,-9.86403,-1.2744,0.494055,0.3359,0.58526,0.161092
1694110564421875,-9.85503,-1.5744,0.510055,0.2999,0.61626,0.142092
1694110564429687,-9.86603,-1.13744,0.505055,0.3459,0.59026,0.131192
1694110564437500,-9.91003,0.973744,0.551055,0.3719,0.53326,0.112392
1694110564445312,-9.97503,0.967744,0.548055,0.5079,0.55926,0.99692
1694110564453125,-10.5203,0.960744,0.571055,0.4759,0.55426,0.87192
1694110564460937,-10.8203,0.942744,0.605055,0.6569,0.60126,0.83792
1694110564468750,-10.3003,0.964744,0.623055,0.7499,0.69626,0.78892
1694110564476562,-9.96803,-1.32744,0.610055,0.7499,0.68226,0.83592
1694110564484375,-9.96003,-1.79744,0.615055,0.7189,0.69926,0.80492
1694110564492187,-9.98703,-1.96744,0.631055,0.6589,0.61426,0.80692
1694110564500000,-10.5003,-1.123744,0.640055,0.6279,0.56626,0.83992
1694110564507812,-10.8103,-1.153744,0.631055,0.5089,0.54826,0.85792
1694110564515625,-10.8403,-1.148744,0.640055,0.3419,0.59226,0.96692
1694110564523437,-10.6603,-1.79744,0.674055,0.2969,0.50226,0.92392
1694110564531250,-10.11803,0.988744,0.651055,0.2479,0.47926,0.98492
1694110564539062,-10.21103,0.944744,0.644055,0.2639,0.49926,0.106292
1694110564546875,-10.23403,0.903744,0.619055,0.4369,0.56526,0.120292
1694110564554687,-10.16803,0.906744,0.598055,0.4829,0.61526,0.121692
