time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694110563789062,-5.267076,-0.033245,8.358143,,,
1694110563796875,-5.278076,0.58245,8.376143,0.61791,0.359598,0.18724
1694110563804687,-5.201076,0.90245,8.421143,0.72991,0.326898,0.19124
1694110563812500,-5.260076,0.67245,8.500143,0.87891,0.293598,0.26124
1694110563820312,-5.177076,0.57245,8.336143,0.81991,0.231298,0.26524
1694110563828125,-5.39076,0.88245,8.361143,0.81291,0.285698,0.21124
1694110563843750,-4.943076,0.54245,8.399143,0.60991,0.287098,0.19324
1694110563851562,-4.909076,0.133245,8.374143,0.61091,0.288598,0.19424
1694110563859375,-4.917076,0.134245,8.343143,0.65191,0.297598,0.15924
1694110563867187,-4.900076,0.106245,8.358143,0.74491,0.305598,0.9624
1694110563890625,-4.928076,0.19245,8.557143,0.60291,0.316798,0.1424
1694110563898437,-4.935076,0.33245,8.440143,0.83191,0.279498,0.4076
1694110563906250,-4.901076,0.26245,8.458143,0.85691,0.296698,0.1276
1694110563914062,-4.789076,0.25245,8.595143,0.82491,0.300198,0.1376
1694110563921875,-4.830076,0.34755,8.593143,0.81091,0.280798,0.8324
1694110563929687,-4.834076,0.46755,8.559143,0.72591,0.276398,0.4776
1694110563937500,-4.779076,0.58755,8.539143,0.63891,0.282198,0.3324
1694110563945312,-4.660076,0.79755,8.570143,0.75491,0.320598,0.5076
1694110563953125,-4.698076,0.88755,8.753143,0.56291,0.369298,0.18376
1694110563960937,-4.772076,0.76755,8.541143,0.59391,0.328698,0.19776
1694110563968750,-4.756076,0.63755,8.525143,0.57791,0.356598,0.15176
1694110563976562,-4.754076,0.58755,8.674143,0.58291,0.362598,0.6976
1694110563984375,-4.765076,0.55755,8.746143,0.60391,0.352398,0.4524
1694110563992187,-4.691076,0.39755,8.728143,0.61791,0.347898,0.9224
1694110564000000,-4.665076,0.76755,8.633143,0.63891,0.330898,0.7924
1694110564007812,-4.631076,0.69755,8.640143,0.85591,0.329698,0.11324
1694110564015625,-4.582076,0.103755,8.766143,0.84391,0.322798,0.13124
1694110564023437,-4.544076,0.118755,8.795143,0.82691,0.309898,0.9824
1694110564031250,-4.508076,0.112755,8.773143,0.85291,0.307398,0.8024
1694110564039062,-4.495076,0.133755,8.757143,0.90591,0.306598,0.11624
1694110564046875,-4.419076,0.147755,8.789143,0.89391,0.307698,0.10124
1694110564054687,-4.365076,0.180755,8.852143,0.92391,0.303398,0.18024
1694110564062500,-4.437076,0.188755,8.791143,0.94191,0.294998,0.23024
1694110564070312,-4.443076,0.166755,8.746143,0.110991,0.277798,0.18224
1694110564078125,-4.359076,0.102755,8.775143,0.98591,0.275498,0.8724
1694110564085937,-4.310076,0.111755,8.928143,0.83891,0.294098,0.5024
1694110564093750,-4.222076,0.94755,8.973143,0.65091,0.293998,0.4724
1694110564101562,-4.178076,0.144755,8.996143,0.59291,0.291598,0.124
1694110564109375,-4.273076,0.141755,8.980143,0.64291,0.245498,0.4176
1694110564117187,-4.261076,0.112755,8.854143,0.81291,0.239098,0.13676
1694110564125000,-4.161076,0.50755,8.899143,0.85991,0.256998,0.13676
1694110564132812,-4.170076,0.46755,8.958143,0.77791,0.255898,0.12376
1694110564140625,-4.199076,0.49755,8.917143,0.70991,0.278998,0.27076
1694110564148437,-4.163076,0.41755,8.949143,0.85591,0.273298,0.29876
1694110564156250,-4.155076,0.75755,9.54143,0.83891,0.270198,0.28276
1694110564164062,-4.132076,0.74755,9.61143,0.85591,0.252198,0.28176
1694110564171875,-4.69076,0.82755,9.18143,0.84091,0.243998,0.29776
1694110564179687,-4.88076,0.91755,8.987143,0.85891,0.225798,0.27876
1694110564187500,-3.995076,0.63755,8.942143,0.84091,0.231098,0.26476
1694110564195312,-3.993076,0.77755,9.143,0.94691,0.234798,0.29776
1694110564203125,-4.23076,0.132755,8.944143,0.101591,0.222598,0.27676
1694110564210937,-3.928076,0.118755,8.919143,0.107391,0.224798,0.34276
1694110564218750,-3.949076,0.154755,8.980143,0.110491,0.250998,0.27976
1694110564226562,-3.971076,0.125755,9.43143,0.96691,0.251998,0.31176
1694110564234375,-3.894076,0.84755,8.971143,0.83691,0.238098,0.29876
1694110564242187,-3.933076,0.145755,8.942143,0.83791,0.244398,0.28276
1694110564250000,-3.874076,0.93755,8.967143,0.91791,0.229698,0.29676
1694110564257812,-3.841076,0.118755,9.30143,0.111391,0.223598,0.27376
1694110564265625,-3.858076,0.183755,9.136143,0.106691,0.197798,0.25776
1694110564273437,-3.774076,0.158755,9.120143,0.85891,0.195098,0.24576
1694110564281250,-3.795076,0.202755,9.117143,0.81291,0.196698,0.21476
1694110564289062,-3.757076,0.197755,9.84143,0.81391,0.175198,0.27676
1694110564296875,-3.761076,0.195755,9.133143,0.73391,0.182198,0.24676
1694110564304687,-3.748076,0.190755,9.140143,0.70691,0.186498,0.16576
1694110564312500,-3.756076,0.184755,9.185143,0.62991,0.184898,0.13376
1694110564320312,-3.714076,0.199755,9.120143,0.64691,0.188198,0.6976
1694110564328125,-3.707076,0.201755,9.144143,0.65691,0.203698,0.2576
1694110564335937,-3.698076,0.213755,9.176143,0.70391,0.189198,0.776
1694110564343750,-3.646076,0.167755,9.160143,0.66091,0.177298,0.2524
1694110564351562,-3.573076,0.135755,9.18143,0.48791,0.195298,0.7024
1694110564359375,-3.553076,0.154755,8.998143,0.47091,0.221598,0.10024
1694110564367187,-3.581076,0.168755,9.57143,0.56891,0.234098,0.11924
1694110564375000,-3.642076,0.216755,9.86143,0.61091,0.221798,0.8524
1694110564382812,-3.515076,0.125755,9.75143,0.69291,0.217898,0.7224
1694110564390625,-3.466076,0.148755,9.79143,0.70991,0.223098,0.20024
1694110564398437,-3.525076,0.205755,9.205143,0.78791,0.227998,0.20024
1694110564406250,-3.561076,0.181755,9.228143,0.85291,0.198498,0.23624
1694110564414062,-3.565076,0.163755,9.140143,0.86191,0.151898,0.24224
1694110564421875,-3.542076,0.163755,9.165143,0.87291,0.141198,0.25624
1694110564429687,-3.516076,0.169755,9.246143,0.77891,0.150798,0.22324
1694110564437500,-3.500076,0.184755,9.259143,0.57591,0.149198,0.23724
1694110564445312,-3.455076,0.177755,9.257143,0.43191,0.156098,0.23324
1694110564453125,-3.437076,0.190755,9.176143,0.40191,0.152598,0.26624
1694110564460937,-3.406076,0.176755,9.185143,0.49591,0.165698,0.28224
1694110564468750,-3.423076,0.147755,9.226143,0.60891,0.171898,0.34924
1694110564476562,-3.406076,0.92755,9.203143,0.58891,0.182398,0.34624
1694110564484375,-3.404076,0.75755,9.264143,0.77691,0.190798,0.42724
1694110564492187,-3.404076,0.117755,9.302143,0.86991,0.174598,0.41224
1694110564500000,-3.370076,0.103755,9.255143,0.85091,0.186298,0.33024
1694110564507812,-3.353076,0.127755,9.311143,0.93091,0.204098,0.39524
1694110564515625,-3.367076,0.169755,9.394143,0.109291,0.180798,0.44824
1694110564523437,-3.396076,0.195755,9.392143,0.111991,0.150298,0.32024
1694110564531250,-3.359076,0.209755,9.309143,0.106391,0.130998,0.22824
1694110564539062,-3.314076,0.244755,9.198143,0.108891,0.133698,0.24124
1694110564546875,-3.321076,0.256755,9.207143,0.111791,0.153298,0.19224
1694110564554687,-3.274076,0.257755,9.304143,0.112991,0.174798,0.14124
1694110564562500,-3.337076,0.289755,9.311143,0.110091,0.182798,0.20524
1694110564570312,-3.279076,0.284755,9.282143,0.111691,0.171298,0.19024
1694110564578125,-3.268076,0.304755,9.327143,0.110091,0.171498,0.22224
1694110564585937,-3.257076,0.330755,9.354143,0.95991,0.177598,0.15724
1694110564593750,-3.196076,0.318755,9.385143,0.81991,0.171098,0.18824
1694110564601562,-3.210076,0.347755,9.376143,0.69591,0.159598,0.20324
1694110564609375,-3.197076,0.356755,9.329143,0.61091,0.163198,0.824
1694110564617187,-3.204076,0.366755,9.286143,0.59891,0.167298,0.3776
1694110564625000,-3.215076,0.380755,9.255143,0.66191,0.167298,0.2076
1694110564632812,-3.168076,0.361755,9.219143,0.89991,0.163898,0.3024
1694110564640625,-3.123076,0.381755,9.397143,0.89691,0.211598,0.10624
1694110564648437,-3.96076,0.341755,9.426143,0.66091,0.215298,0.21524
1694110564656250,-3.37076,0.340755,9.286143,0.60091,0.200598,0.29524
1694110564664062,-3.184076,0.386755,9.345143,0.63691,0.208198,0.36224
1694110564671875,-3.157076,0.370755,9.388143,0.83991,0.187098,0.30024
1694110564679687,-3.60076,0.396755,9.343143,0.86791,0.156598,0.25324
1694110564687500,-3.45076,0.420755,9.318143,0.82191,0.172998,0.36424
1694110564695312,-3.43076,0.433755,9.352143,0.86891,0.186098,0.37924
1694110564703125,-3.41076,0.467755,9.374143,0.91391,0.168698,0.39524
1694110564710937,-3.44076,0.500755,9.390143,0.85791,0.146398,0.35124
1694110564718750,-2.969076,0.463755,9.347143,0.80991,0.144698,0.31924
1694110564726562,-2.896076,0.416755,9.266143,0.72791,0.143698,0.33224
1694110564734375,-2.896076,0.387755,9.307143,0.71291,0.153298,0.31624
1694110564742187,-2.944076,0.436755,9.417143,0.62191,0.133398,0.33324
1694110564750000,-2.825076,0.423755,9.370143,0.55791,0.110898,0.31624
1694110564757812,-2.752076,0.411755,9.327143,0.38391,0.122498,0.32924
1694110564765625,-2.744076,0.407755,9.268143,0.35291,0.125598,0.29724
1694110564773437,-2.759076,0.370755,9.304143,0.40491,0.131098,0.25224
1694110564781250,-2.763076,0.333755,9.412143,0.47791,0.138298,0.21824
1694110564789062,-2.783076,0.311755,9.557143,0.38591,0.136398,0.23424
1694110564796875,-2.763076,0.345755,9.592143,0.42891,0.119198,0.24924
1694110564804687,-2.741076,0.378755,9.550143,0.33791,0.117198,0.26624
1694110564812500,-2.748076,0.384755,9.516143,0.43891,0.109798,0.30224
1694110564820312,-2.775076,0.362755,9.525143,0.62691,0.91798,0.25824
1694110564828125,-2.734076,0.314755,9.446143,0.61291,0.81798,0.25924
1694110564835937,-2.658076,0.326755,9.444143,0.53391,0.120698,0.22424
1694110564843750,-2.680076,0.347755,9.455143,0.49891,0.145698,0.22124
1694110564851562,-2.752076,0.389755,9.424143,0.75991,0.119098,0.28624
1694110564859375,-2.805076,0.406755,9.356143,0.113591,0.55798,0.42724
1694110564867187,-2.708076,0.410755,9.478143,0.120891,0.57998,0.34624
1694110564875000,-2.668076,0.434755,9.566143,0.98691,0.79398,0.37324
1694110564882812,-2.584076,0.424755,9.460143,0.73191,0.84498,0.24124
1694110564890625,-2.546076,0.423755,9.435143,0.49591,0.90698,0.15824
1694110564898437,-2.567076,0.473755,9.356143,0.63591,0.66798,0.20724
1694110564906250,-2.555076,0.518755,9.509143,0.62191,0.88698,0.4824
1694110564914062,-2.559076,0.508755,9.622143,0.49191,0.93998,0.276
1694110564921875,-2.557076,0.501755,9.554143,0.35491,0.75498,0.1776
1694110564929687,-2.525076,0.489755,9.505143,0.29191,0.73898,0.276
1694110564937500,-2.532076,0.467755,9.501143,0.31191,0.66698,0.1576
1694110564945312,-2.583076,0.450755,9.471143,0.30791,0.60998,0.3024
1694110564953125,-2.582076,0.437755,9.502143,0.28791,0.69498,0.3676
1694110564960937,-2.571076,0.415755,9.550143,0.30191,0.85698,0.13276
1694110564968750,-2.555076,0.399755,9.588143,0.27291,0.91798,0.11676
1694110564976562,-2.575076,0.403755,9.617143,0.16391,0.80298,0.14876
1694110564984375,-2.611076,0.389755,9.613143,0.28791,0.69298,0.11576
1694110564992187,-2.608076,0.378755,9.568143,0.22391,0.46798,0.9976
1694110565000000,-2.623076,0.324755,9.462143,0.32391,0.44598,0.1676
1694110565007812,-2.657076,0.316755,9.467143,0.35791,0.58698,0.1576
1694110565015625,-2.607076,0.293755,9.485143,0.35591,0.34298,0.17476
1694110565023437,-2.556076,0.296755,9.462143,0.39091,0.20598,0.20376
1694110565031250,-2.498076,0.335755,9.613143,0.43591,0.42098,0.17376
1694110565039062,-2.501076,0.362755,9.620143,0.43691,0.25498,0.21976
1694110565046875,-2.465076,0.396755,9.620143,0.59991,0.32098,0.15876
1694110565054687,-2.421076,0.439755,9.714143,0.60091,0.44998,0.17576
1694110565062500,-2.472076,0.449755,9.739143,0.55291,0.30198,0.25576
1694110565070312,-2.497076,0.451755,9.721143,0.60391,0.1898,0.28376
