time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694110613789062,-8.639512,-0.243175,4.609207,,,
1694110613796875,-8.601512,0.260175,4.623207,0.168054,0.591035,0.34724
1694110613804687,-8.533512,0.256175,4.661207,0.170854,0.606235,0.34524
1694110613812500,-8.434512,0.255175,4.697207,0.184754,0.606435,0.31424
1694110613820312,-8.378512,0.261175,4.733207,0.187654,0.598435,0.21824
1694110613828125,-8.358512,0.261175,4.830207,0.192354,0.594935,0.15524
1694110613843750,-8.325512,0.235175,5.73207,0.201854,0.607835,0.15624
1694110613851562,-8.361512,0.201175,5.93207,0.206554,0.581635,0.9424
1694110613859375,-8.359512,0.186175,5.46207,0.203554,0.574635,0.1524
1694110613867187,-8.334512,0.197175,5.1207,0.184254,0.573735,0.2624
1694110613890625,-8.227512,0.149175,5.154207,0.185154,0.631535,0.524
1694110613898437,-8.249512,0.112175,5.221207,0.193854,0.625935,0.6076
1694110613906250,-8.233512,0.83175,5.271207,0.193454,0.637235,0.776
1694110613914062,-8.170512,0.89175,5.352207,0.187154,0.641735,0.11976
1694110613921875,-8.127512,0.56175,5.395207,0.183954,0.629035,0.10476
1694110613929687,-8.69512,0.52175,5.357207,0.204354,0.615935,0.13376
1694110613937500,-7.958512,0.90175,5.400207,0.224554,0.638635,0.19676
1694110613945312,-7.983512,0.121175,5.533207,0.215654,0.644835,0.5276
1694110613953125,-7.995512,0.162175,5.550207,0.207154,0.639535,0.4076
1694110613960937,-7.993512,0.128175,5.571207,0.193054,0.629635,0.5776
1694110613968750,-7.969512,0.111175,5.591207,0.207654,0.620835,0.3776
1694110613976562,-8.8512,0.84175,5.767207,0.190354,0.619235,0.7176
1694110613984375,-7.918512,0.77175,5.706207,0.182354,0.596435,0.13576
1694110613992187,-7.817512,0.63175,5.740207,0.177654,0.602735,0.16776
1694110614000000,-7.720512,0.53175,5.764207,0.184954,0.629635,0.15476
1694110614007812,-7.660512,0.34175,5.990207,0.196254,0.657135,0.5776
1694110614015625,-7.674512,0.2175,6.147207,0.174354,0.654035,0.1924
1694110614023437,-7.627512,0.4825,6.71207,0.187654,0.615535,0.1024
1694110614031250,-7.558512,0.6825,6.23207,0.192154,0.598135,0.2624
1694110614039062,-7.566512,0.18175,5.976207,0.197154,0.583035,0.2924
1694110614046875,-7.561512,0.33175,5.971207,0.204754,0.552735,0.6224
1694110614054687,-7.521512,0.9175,6.5207,0.210754,0.559635,0.7724
1694110614062500,-7.536512,0.40175,6.143207,0.215254,0.593635,0.2076
1694110614070312,-7.572512,0.34175,6.210207,0.188454,0.600635,0.5524
1694110614078125,-7.593512,0.8175,6.210207,0.180954,0.596935,0.4024
1694110614085937,-7.503512,0.16175,6.208207,0.165354,0.599935,0.5424
1694110614093750,-7.416512,0.13175,6.201207,0.156054,0.619135,0.5324
1694110614101562,-7.418512,0.9825,6.300207,0.149154,0.603735,0.224
1694110614109375,-7.364512,0.8825,6.291207,0.140454,0.567135,0.624
1694110614117187,-7.289512,0.48825,6.350207,0.131254,0.573435,0.6924
1694110614125000,-7.249512,0.110825,6.465207,0.148154,0.595035,0.6924
1694110614132812,-7.206512,0.114825,6.636207,0.148254,0.601335,0.5324
1694110614140625,-7.144512,0.151825,6.609207,0.134354,0.581635,0.8524
1694110614148437,-7.119512,0.145825,6.580207,0.161254,0.584635,0.10524
1694110614156250,-7.59512,0.156825,6.548207,0.165754,0.585235,0.20024
1694110614164062,-7.7512,0.135825,6.555207,0.172354,0.605935,0.24924
1694110614171875,-6.950512,0.126825,6.717207,0.156554,0.634435,0.43624
1694110614179687,-6.951512,0.181825,6.737207,0.151754,0.622935,0.35624
1694110614187500,-7.13512,0.93825,6.699207,0.151954,0.611335,0.37424
1694110614195312,-7.29512,0.89825,6.670207,0.138054,0.592835,0.31124
1694110614203125,-6.968512,0.70825,6.645207,0.133354,0.587635,0.21524
1694110614210937,-6.947512,0.79825,6.690207,0.115754,0.596435,0.24224
1694110614218750,-6.921512,0.118825,6.717207,0.112954,0.607535,0.30724
1694110614226562,-6.855512,0.82825,6.742207,0.127654,0.636435,0.27124
1694110614234375,-6.831512,0.123825,6.841207,0.128554,0.660035,0.44924
1694110614242187,-6.769512,0.153825,6.933207,0.131754,0.646935,0.46724
1694110614250000,-6.706512,0.166825,6.983207,0.133554,0.627035,0.43724
1694110614257812,-6.598512,0.171825,6.940207,0.131454,0.614535,0.32324
1694110614265625,-6.558512,0.195825,6.976207,0.135954,0.624835,0.40224
1694110614273437,-6.566512,0.215825,7.102207,0.152454,0.607435,0.42524
1694110614281250,-6.543512,0.217825,7.143207,0.163054,0.614635,0.42324
1694110614289062,-6.523512,0.228825,7.323207,0.175554,0.622835,0.45624
1694110614296875,-6.481512,0.247825,7.415207,0.162054,0.594135,0.39524
1694110614304687,-6.471512,0.212825,7.352207,0.157954,0.562735,0.26424
1694110614312500,-6.403512,0.190825,7.217207,0.153654,0.535435,0.6024
1694110614320312,-6.337512,0.134825,7.59207,0.153354,0.529535,0.5824
1694110614328125,-6.218512,0.152825,7.255207,0.165754,0.575235,0.10524
1694110614335937,-6.228512,0.235825,7.620207,0.162554,0.582135,0.21524
1694110614343750,-6.309512,0.250825,7.715207,0.137754,0.547935,0.29524
1694110614351562,-6.285512,0.249825,7.595207,0.128954,0.550435,0.34424
1694110614359375,-6.291512,0.254825,7.561207,0.126454,0.585835,0.33824
1694110614367187,-6.169512,0.289825,7.627207,0.105954,0.604835,0.16024
1694110614375000,-6.48512,0.356825,7.834207,0.112454,0.602935,0.17724
1694110614382812,-5.962512,0.428825,8.23207,0.118654,0.573635,0.13124
1694110614390625,-5.922512,0.452825,8.79207,0.107854,0.554235,0.21124
1694110614398437,-5.888512,0.465825,8.19207,0.109854,0.508435,0.24724
1694110614406250,-5.880512,0.493825,7.875207,0.109054,0.491235,0.33124
1694110614414062,-5.852512,0.448825,7.832207,0.113654,0.499635,0.39524
1694110614421875,-5.852512,0.415825,7.776207,0.107554,0.508135,0.55324
1694110614429687,-5.838512,0.440825,7.728207,0.110554,0.538035,0.72724
1694110614437500,-5.820512,0.447825,7.809207,0.133654,0.543335,0.64724
1694110614445312,-5.773512,0.412825,8.28207,0.135754,0.544235,0.68224
1694110614453125,-5.771512,0.414825,8.109207,0.112354,0.519835,0.69724
1694110614460937,-5.779512,0.394825,8.32207,0.89154,0.485435,0.72924
1694110614468750,-5.782512,0.442825,7.863207,0.105954,0.490935,0.72924
1694110614476562,-5.752512,0.372825,7.818207,0.110754,0.503635,0.71324
1694110614484375,-5.670512,0.352825,7.879207,0.113254,0.512835,0.74224
1694110614492187,-5.618512,0.439825,7.951207,0.105954,0.505735,0.77624
1694110614500000,-5.544512,0.476825,8.75207,0.102854,0.492335,0.71324
1694110614507812,-5.529512,0.479825,8.75207,0.90754,0.473935,0.71424
1694110614515625,-5.484512,0.485825,8.75207,0.107954,0.464135,0.68524
1694110614523437,-5.507512,0.485825,8.273207,0.113254,0.443635,0.64124
1694110614531250,-5.470512,0.490825,8.219207,0.110954,0.402235,0.52724
1694110614539062,-5.315512,0.466825,8.46207,0.121454,0.451535,0.50824
1694110614546875,-5.352512,0.418825,8.282207,0.133554,0.515935,0.61624
1694110614554687,-5.341512,0.429825,8.379207,0.116454,0.497635,0.60024
1694110614562500,-5.378512,0.446825,8.323207,0.98154,0.477335,0.58524
1694110614570312,-5.368512,0.447825,8.217207,0.80754,0.451735,0.61524
1694110614578125,-5.369512,0.480825,8.201207,0.104454,0.446635,0.63524
1694110614585937,-5.375512,0.474825,8.277207,0.107254,0.447335,0.63324
1694110614593750,-5.317512,0.464825,8.320207,0.99454,0.430435,0.50724
1694110614601562,-5.259512,0.449825,8.368207,0.98654,0.413035,0.47924
1694110614609375,-5.248512,0.486825,8.483207,0.92354,0.405035,0.49424
1694110614617187,-5.167512,0.488825,8.482207,0.68454,0.366435,0.46024
1694110614625000,-5.150512,0.523825,8.419207,0.65854,0.336635,0.47924
1694110614632812,-5.173512,0.568825,8.379207,0.45354,0.314035,0.46124
1694110614640625,-5.95512,0.622825,8.298207,0.56254,0.315635,0.43024
1694110614648437,-4.978512,0.647825,8.579207,0.85854,0.359935,0.51024
1694110614656250,-4.934512,0.668825,8.735207,0.84954,0.362535,0.60924
1694110614664062,-4.922512,0.653825,8.647207,0.78554,0.356535,0.71924
1694110614671875,-4.982512,0.636825,8.518207,0.83154,0.337535,0.76724
1694110614679687,-4.942512,0.626825,8.437207,0.99154,0.335335,0.75524
1694110614687500,-4.894512,0.577825,8.471207,0.106854,0.346835,0.72324
1694110614695312,-4.847512,0.554825,8.467207,0.103954,0.335135,0.74024
1694110614703125,-4.845512,0.573825,8.451207,0.93154,0.334935,0.75624
1694110614710937,-4.784512,0.543825,8.523207,0.88654,0.331235,0.72524
1694110614718750,-4.728512,0.556825,8.568207,0.74154,0.344935,0.73624
1694110614726562,-4.678512,0.547825,8.532207,0.58154,0.372735,0.70024
1694110614734375,-4.703512,0.574825,8.617207,0.60854,0.386435,0.71424
1694110614742187,-4.687512,0.579825,8.633207,0.57554,0.367135,0.69724
1694110614750000,-4.638512,0.555825,8.687207,0.56454,0.369835,0.73124
1694110614757812,-4.673512,0.554825,8.750207,0.57954,0.379635,0.71524
1694110614765625,-4.663512,0.564825,8.854207,0.60254,0.378735,0.78324
