time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694110563187500,-10.1187,-1.488434,-0.007529,,,
1694110563195312,-10.1287,-1.563434,0.752311,0.19329,0.679882,0.21675
1694110563203125,-10.2057,-1.522434,0.671311,0.10829,0.669082,0.19875
1694110563210937,-10.2367,-1.551434,0.594311,0.26729,0.653482,0.22875
1694110563218750,-10.1957,-1.553434,0.508311,0.28629,0.644082,0.21475
1694110563226562,-10.1907,-1.463434,0.427311,0.52529,0.648782,0.22875
1694110563242187,-10.2427,-1.539434,0.418311,0.60429,0.594282,0.21375
1694110563250000,-10.2407,-1.550434,0.353311,0.79929,0.573982,0.13375
1694110563257812,-10.2937,-1.583434,0.303311,0.78129,0.564882,0.9225
1694110563265625,-10.3897,-1.601434,0.305311,0.74929,0.558682,0.14025
1694110563289062,-10.2637,-1.546434,0.264311,0.85929,0.522982,0.18925
1694110563296875,-10.1417,-1.581434,0.181311,0.70129,0.518282,0.25125
1694110563304687,-10.837,-1.602434,0.133311,0.65229,0.518382,0.31625
1694110563312500,-10.777,-1.630434,0.68311,0.64029,0.513682,0.41025
1694110563320312,-10.1087,-1.643434,0.29311,0.65729,0.511982,0.40925
1694110563328125,-10.907,-1.683434,0.6689,0.70329,0.519882,0.37925
1694110563335937,-10.1317,-1.636434,0.2311,0.78329,0.518182,0.26625
1694110563343750,-10.977,-1.653434,0.1689,0.86629,0.497682,0.13625
1694110563351562,-10.707,-1.652434,0.0,0.87729,0.489982,0.10725
1694110563359375,-10.17,-1.607434,0.16311,0.85929,0.469582,0.3775
1694110563367187,-9.9127,-1.577434,0.2311,0.87229,0.464882,0.16475
1694110563375000,-9.8167,-1.632434,0.17689,0.78629,0.454282,0.12975
1694110563382812,-9.8067,-1.634434,0.103689,0.59729,0.469682,0.11575
1694110563390625,-9.7917,-1.593434,0.180689,0.61229,0.468282,0.6675
1694110563398437,-9.7527,-1.581434,0.178689,0.56029,0.454482,0.3125
1694110563406250,-9.7257,-1.567434,0.193689,0.64529,0.446582,0.15725
1694110563414062,-9.7127,-1.510434,0.207689,0.61129,0.443682,0.30325
1694110563421875,-9.6727,-1.517434,0.221689,0.53229,0.445282,0.31825
1694110563429687,-9.6707,-1.482434,0.207689,0.35529,0.443782,0.39825
1694110563437500,-9.6367,-1.509434,0.268689,0.43629,0.445482,0.52725
1694110563445312,-9.6817,-1.508434,0.327689,0.38929,0.445382,0.51025
1694110563453125,-9.7497,-1.585434,0.322689,0.35229,0.462682,0.41725
1694110563460937,-9.7227,-1.574434,0.313689,0.33629,0.443782,0.28725
1694110563468750,-9.6737,-1.528434,0.356689,0.35829,0.442082,0.31625
1694110563476562,-9.6407,-1.520434,0.365689,0.33829,0.432682,0.23725
1694110563484375,-9.6607,-1.497434,0.383689,0.35629,0.432682,0.25225
1694110563492187,-9.5937,-1.496434,0.410689,0.33929,0.438982,0.25325
1694110563500000,-9.5677,-1.463434,0.444689,0.38829,0.438982,0.28525
1694110563507812,-9.5517,-1.449434,0.501689,0.34329,0.432582,0.26625
1694110563515625,-9.5497,-1.447434,0.557689,0.33029,0.443282,0.20025
1694110563523437,-9.5787,-1.454434,0.593689,0.33829,0.448182,0.12525
1694110563531250,-9.5867,-1.507434,0.620689,0.38229,0.446582,0.8175
1694110563539062,-9.5907,-1.513434,0.648689,0.46629,0.438482,0.16475
1694110563546875,-9.5297,-1.527434,0.690689,0.40629,0.441982,0.22175
1694110563554687,-9.4907,-1.511434,0.684689,0.29829,0.443382,0.20875
1694110563562500,-9.4747,-1.520434,0.686689,0.28729,0.443282,0.21175
