time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694110613187500,-8.324901,1.580385,4.728105,-0.03248,,
1694110613195312,-8.313901,1.619385,4.758105,0.1728,0.191054,0.3068
1694110613203125,-8.300901,1.655385,4.760105,0.1835,0.206554,0.2298
1694110613210937,-8.249901,1.651385,4.665105,0.1985,0.225554,0.1778
1694110613218750,-8.224901,1.651385,4.674105,0.2078,0.242654,0.1318
1694110613226562,-8.255901,1.638385,4.733105,0.2236,0.256654,0.688
1694110613242187,-8.289901,1.681385,4.500105,0.223,0.290954,0.1382
1694110613250000,-8.323901,1.708385,4.455105,0.2248,0.292654,0.1392
1694110613257812,-8.340901,1.750385,4.643105,0.223,0.289554,0.2512
1694110613265625,-8.352901,1.743385,4.575105,0.2321,0.303454,0.2642
1694110613289062,-8.463901,1.750385,4.417105,0.2548,0.345754,0.3622
1694110613296875,-8.492901,1.744385,4.349105,0.2486,0.344254,0.3472
1694110613304687,-8.505901,1.755385,4.331105,0.2504,0.347354,0.2522
1694110613312500,-8.492901,1.775385,4.279105,0.2499,0.367354,0.2012
1694110613320312,-8.510901,1.777385,4.218105,0.2486,0.382854,0.218
1694110613328125,-8.525901,1.738385,4.150105,0.2711,0.401554,0.538
1694110613335937,-8.527901,1.756385,4.87105,0.2726,0.413854,0.1668
1694110613343750,-8.585901,1.708385,4.51105,0.2692,0.424654,0.2318
1694110613351562,-8.558901,1.761385,4.15105,0.2789,0.438754,0.2488
1694110613359375,-8.514901,1.793385,3.994105,0.2628,0.465154,0.3278
1694110613367187,-8.575901,1.787385,3.942105,0.2517,0.474454,0.4388
1694110613375000,-8.620901,1.842385,3.895105,0.259,0.491354,0.4108
1694110613382812,-8.703901,1.876385,3.782105,0.2477,0.489954,0.2338
1694110613390625,-8.659901,1.855385,3.735105,0.2498,0.477754,0.2148
1694110613398437,-8.671901,1.822385,3.667105,0.2675,0.483954,0.2308
1694110613406250,-8.710901,1.872385,3.615105,0.2705,0.483954,0.1518
1694110613414062,-8.751901,1.907385,3.545105,0.2382,0.501154,0.1038
1694110613421875,-8.845901,1.878385,3.536105,0.2431,0.493354,0.1038
1694110613429687,-8.856901,1.918385,3.559105,0.2381,0.510554,0.718
1694110613437500,-8.975901,1.891385,3.468105,0.2238,0.515154,0.1508
1694110613445312,-9.27901,1.900385,3.502105,0.2398,0.520054,0.582
1694110613453125,-9.6901,1.903385,3.426105,0.2488,0.507354,0.532
1694110613460937,-8.950901,1.906385,3.389105,0.259,0.493454,0.78
1694110613468750,-8.926901,1.890385,3.324105,0.271,0.491454,0.298
1694110613476562,-8.932901,1.839385,3.310105,0.2577,0.485154,0.642
1694110613484375,-8.980901,1.849385,3.240105,0.2492,0.487254,0.1202
1694110613492187,-8.949901,1.838385,3.152105,0.2478,0.490254,0.718
1694110613500000,-8.889901,1.852385,3.130105,0.2542,0.494854,0.1038
1694110613507812,-8.873901,1.895385,3.66105,0.2409,0.505654,0.748
1694110613515625,-8.862901,1.891385,2.865105,0.2542,0.522954,0.1198
1694110613523437,-8.919901,1.941385,2.825105,0.2622,0.526154,0.558
1694110613531250,-9.2901,1.965385,2.782105,0.2604,0.530754,0.728
1694110613539062,-9.192901,1.967385,2.757105,0.254,0.538654,0.238
1694110613546875,-9.349901,2.4385,2.633105,0.247,0.532254,0.852
1694110613554687,-9.309901,2.385,2.689105,0.2477,0.516954,0.1372
1694110613562500,-9.282901,2.20385,2.646105,0.252,0.515254,0.1822
1694110613570312,-9.231901,2.25385,2.617105,0.2639,0.509254,0.1372
1694110613578125,-9.370901,1.908385,2.556105,0.2522,0.513754,0.1352
1694110613585937,-9.457901,1.852385,2.507105,0.2474,0.491854,0.1032
1694110613593750,-9.437901,1.843385,2.466105,0.2559,0.495054,0.252
1694110613601562,-9.321901,1.885385,2.396105,0.2741,0.474954,0.208
1694110613609375,-9.311901,1.843385,2.326105,0.2755,0.468454,0.1678
1694110613617187,-9.223901,1.896385,2.308105,0.2696,0.473254,0.1798
1694110613625000,-9.171901,1.914385,2.276105,0.261,0.476254,0.1508
1694110613632812,-9.229901,1.899385,2.220105,0.2613,0.488854,0.1498
1694110613640625,-9.254901,1.919385,2.141105,0.2628,0.485754,0.848
1694110613648437,-9.136901,1.966385,2.140105,0.274,0.477954,0.858
1694110613656250,-9.170901,1.982385,2.79105,0.282,0.477954,0.58
1694110613664062,-9.212901,1.970385,2.66105,0.2815,0.470054,0.392
1694110613671875,-9.269901,1.950385,2.68105,0.2779,0.479254,0.532
1694110613679687,-9.268901,1.946385,2.52105,0.2885,0.481254,0.752
1694110613687500,-9.336901,1.924385,2.46105,0.2811,0.488754,0.1342
1694110613695312,-9.383901,1.911385,1.978105,0.2876,0.477854,0.1822
1694110613703125,-9.283901,1.940385,1.919105,0.298,0.473454,0.1702
1694110613710937,-9.285901,1.912385,1.903105,0.3008,0.465554,0.1672
1694110613718750,-9.349901,1.971385,1.838105,0.3079,0.471954,0.1072
1694110613726562,-9.253901,1.988385,1.734105,0.295,0.463954,0.218
1694110613734375,-9.245901,1.940385,1.775105,0.2992,0.467054,0.1032
1694110613742187,-9.246901,2.15385,1.716105,0.2963,0.467054,0.82
1694110613750000,-9.168901,2.20385,1.632105,0.2934,0.471654,0.1508
1694110613757812,-9.248901,1.988385,1.662105,0.3015,0.481054,0.1018
1694110613765625,-9.301901,1.947385,1.556105,0.3012,0.491854,0.1678
1694110613773437,-9.335901,1.962385,1.569105,0.3113,0.498254,0.1338
1694110613781250,-9.282901,2.37385,1.481105,0.3079,0.499754,0.1338
1694110613789062,-9.297901,1.989385,1.429105,0.3092,0.502754,0.1838
1694110613796875,-9.290901,1.987385,1.483105,0.3269,0.504354,0.1518
1694110613804687,-9.365901,1.908385,1.553105,0.3205,0.496654,0.548
1694110613812500,-9.379901,1.908385,1.483105,0.3254,0.495154,0.548
1694110613820312,-9.262901,1.912385,1.434105,0.3265,0.493354,0.418
1694110613828125,-9.363901,1.919385,1.379105,0.3273,0.496854,0.208
1694110613835937,-9.333901,2.8385,1.323105,0.3235,0.496354,0.2018
1694110613843750,-9.424901,1.965385,1.332105,0.3415,0.490354,0.1198
1694110613851562,-9.410901,2.31385,1.203105,0.3442,0.497154,0.0
1694110613859375,-9.381901,2.95385,1.79105,0.3235,0.482754,0.1362
1694110613867187,-9.354901,2.87385,1.126105,0.3349,0.475154,0.3142
1694110613875000,-9.381901,2.71385,1.18105,0.332,0.491054,0.4132
1694110613882812,-9.450901,2.26385,1.7105,0.3254,0.473854,0.5082
1694110613890625,-9.398901,2.64385,1.47105,0.3344,0.462654,0.4552
1694110613898437,-9.415901,2.65385,0.995105,0.335,0.469154,0.4592
1694110613906250,-9.355901,2.117385,0.964105,0.3239,0.462954,0.4282
1694110613914062,-9.229901,2.121385,0.903105,0.3268,0.472154,0.4262
1694110613921875,-9.238901,2.112385,0.853105,0.3232,0.486154,0.4732
1694110613929687,-9.329901,2.78385,0.779105,0.3168,0.490854,0.5382
1694110613937500,-9.382901,2.98385,0.758105,0.3269,0.489654,0.6532
1694110613945312,-9.456901,2.15385,0.700105,0.3281,0.492654,0.6512
1694110613953125,-9.481901,2.29385,0.709105,0.3395,0.487954,0.6032
1694110613960937,-9.426901,2.121385,0.627105,0.3057,0.497154,0.4752
1694110613968750,-9.396901,2.63385,0.600105,0.3103,0.500254,0.5542
1694110613976562,-9.320901,2.166385,0.541105,0.3154,0.520554,0.5072
1694110613984375,-9.422901,2.87385,0.415105,0.2946,0.536054,0.3962
1694110613992187,-9.346901,2.115385,0.379105,0.2947,0.543954,0.3652
1694110614000000,-9.254901,2.166385,0.365105,0.294,0.546654,0.2642
1694110614007812,-9.284901,2.79385,0.315105,0.3152,0.559154,0.1692
1694110614015625,-9.313901,2.73385,0.218105,0.2927,0.566954,0.1862
1694110614023437,-9.313901,2.56385,0.189105,0.2778,0.573054,0.1842
1694110614031250,-9.354901,2.87385,0.119105,0.2972,0.577754,0.1362
1694110614039062,-9.374901,2.67385,0.43895,0.3138,0.568654,0.2032
1694110614046875,-9.355901,2.54385,0.95895,0.3276,0.568454,0.2632
1694110614054687,-9.447901,2.76385,0.108895,0.3228,0.570054,0.2632
1694110614062500,-9.584901,2.93385,0.90895,0.302,0.573254,0.3452
1694110614070312,-9.576901,2.128385,0.115895,0.2859,0.573354,0.4422
1694110614078125,-9.624901,2.62385,0.162895,0.2872,0.574954,0.5372
1694110614085937,-9.650901,2.18385,0.214895,0.2728,0.562554,0.6182
1694110614093750,-9.643901,2.2385,0.286895,0.2964,0.560854,0.6462
1694110614101562,-9.555901,2.66385,0.291895,0.3003,0.536154,0.6982
1694110614109375,-9.543901,2.37385,0.374895,0.2984,0.546954,0.6002
1694110614117187,-9.519901,2.52385,0.420895,0.2842,0.551654,0.5862
1694110614125000,-9.492901,2.36385,0.442895,0.2843,0.550054,0.4902
1694110614132812,-9.505901,2.55385,0.533895,0.2901,0.568454,0.4542
1694110614140625,-9.527901,2.64385,0.616895,0.2772,0.563754,0.4702
1694110614148437,-9.525901,2.77385,0.648895,0.2712,0.548254,0.3762
1694110614156250,-9.545901,2.80385,0.720895,0.2869,0.540554,0.5982
1694110614164062,-9.442901,2.101385,0.711895,0.2961,0.532654,0.6432
1694110614171875,-9.352901,2.147385,0.666895,0.2892,0.517454,0.6982
1694110614179687,-9.349901,2.129385,0.738895,0.2759,0.515854,0.7602
1694110614187500,-9.430901,2.133385,0.772895,0.276,0.503354,0.6962
1694110614195312,-9.432901,2.117385,0.824895,0.2923,0.492454,0.6492
1694110614203125,-9.438901,2.112385,0.869895,0.282,0.498354,0.6132
1694110614210937,-9.547901,2.80385,0.982895,0.2678,0.504654,0.5032
1694110614218750,-9.535901,2.74385,0.941895,0.2607,0.476354,0.5782
1694110614226562,-9.489901,2.187385,0.960895,0.2487,0.467354,0.6482
1694110614234375,-9.531901,2.168385,-1.81895,0.2391,0.458054,0.6322
1694110614242187,-9.493901,2.165385,-1.127895,0.2423,0.451754,0.6642
1694110614250000,-9.337901,2.234385,-1.154895,0.2681,0.434654,0.6792
1694110614257812,-9.313901,2.253385,-1.206895,0.2881,0.413054,0.6992
1694110614265625,-9.319901,2.231385,-1.195895,0.2687,0.414554,0.6512
1694110614273437,-9.379901,2.192385,-1.224895,0.2719,0.400654,0.7472
1694110614281250,-9.405901,2.142385,-1.219895,0.2749,0.397354,0.7292
1694110614289062,-9.409901,2.149385,-1.330895,0.2598,0.411054,0.6132
1694110614296875,-9.439901,2.173385,-1.382895,0.238,0.406554,0.5052
1694110614304687,-9.481901,2.180385,-1.425895,0.2267,0.409554,0.4732
1694110614312500,-9.595901,2.138385,-1.459895,0.2316,0.400354,0.5702
1694110614320312,-9.699901,2.84385,-1.490895,0.2234,0.389454,0.6012
1694110614328125,-9.773901,2.61385,-1.522895,0.2204,0.387954,0.6022
1694110614335937,-9.741901,2.20385,-1.587895,0.2235,0.397354,0.6502
1694110614343750,-9.562901,2.173385,-1.576895,0.2184,0.392654,0.7612
1694110614351562,-9.524901,2.187385,-1.608895,0.196,0.398954,0.7952
1694110614359375,-9.533901,2.201385,-1.696895,0.2005,0.405154,0.8092
1694110614367187,-9.471901,2.218385,-1.737895,0.2167,0.412954,0.8252
1694110614375000,-9.430901,2.204385,-1.768895,0.2169,0.414554,0.7942
1694110614382812,-9.392901,2.223385,-1.854895,0.2262,0.426954,0.8082
1694110614390625,-9.359901,2.239385,-1.766895,0.2228,0.437754,0.7272
1694110614398437,-9.402901,2.263385,-1.741895,0.1959,0.442654,0.7792
1694110614406250,-9.371901,2.253385,-1.879895,0.2056,0.459854,0.7962
1694110614414062,-9.386901,2.281385,-1.915895,0.2018,0.469054,0.8412
1694110614421875,-9.447901,2.281385,-1.942895,0.205,0.486254,0.9052
1694110614429687,-9.518901,2.250385,-1.985895,0.1899,0.481454,0.10312
1694110614437500,-9.589901,2.211385,-2.37895,0.1769,0.481554,0.10952
1694110614445312,-9.587901,2.229385,-2.41895,0.1703,0.472254,0.12392
1694110614453125,-9.538901,2.236385,-2.55895,0.166,0.469254,0.11622
1694110614460937,-9.551901,2.113385,-2.62895,0.1657,0.465954,0.10632
1694110614468750,-9.642901,2.143385,-2.91895,0.1611,0.465854,0.9522
1694110614476562,-9.490901,2.50385,-2.148895,0.142,0.459454,0.7762
1694110614484375,-9.323901,2.82385,-2.118895,0.1455,0.456554,0.8102
1694110614492187,-9.336901,2.97385,-2.202895,0.1465,0.473554,0.8392
1694110614500000,-9.356901,2.75385,-2.186895,0.1564,0.468754,0.7112
1694110614507812,-9.435901,2.82385,-2.256895,0.1699,0.472054,0.6342
1694110614515625,-9.344901,2.162385,-2.288895,0.1716,0.478354,0.6502
1694110614523437,-9.297901,2.175385,-2.279895,0.1521,0.462654,0.6662
1694110614531250,-9.338901,2.216385,-2.270895,0.1536,0.459454,0.6652
1694110614539062,-9.404901,2.249385,-2.283895,0.1684,0.468954,0.6672
1694110614546875,-9.439901,2.239385,-2.457895,0.1471,0.473454,0.6332
1694110614554687,-9.365901,2.231385,-2.563895,0.1595,0.473154,0.5172
1694110614562500,-9.324901,2.200385,-2.548895,0.1535,0.460954,0.5842
1694110614570312,-9.182901,2.251385,-2.554895,0.1277,0.451554,0.6162
1694110614578125,-9.248901,2.206385,-2.609895,0.1176,0.467054,0.6302
1694110614585937,-9.296901,2.282385,-2.667895,0.1193,0.460954,0.7112
1694110614593750,-9.353901,2.207385,-2.688895,0.1294,0.446954,0.6162
1694110614601562,-9.385901,2.204385,-2.642895,0.1279,0.429554,0.4392
1694110614609375,-9.416901,2.215385,-2.642895,0.1152,0.442154,0.4252
1694110614617187,-9.432901,2.231385,-2.816895,0.1186,0.437454,0.3772
1694110614625000,-9.399901,2.248385,-2.780895,0.1232,0.414154,0.5202
1694110614632812,-9.453901,2.322385,-2.889895,0.1263,0.412654,0.6962
1694110614640625,-9.368901,2.390385,-2.880895,0.1141,0.406654,0.6522
1694110614648437,-9.336901,2.366385,-2.992895,0.1174,0.417454,0.5402
1694110614656250,-9.143901,2.332385,-2.871895,0.1234,0.428254,0.5542
1694110614664062,-9.178901,2.275385,-2.855895,0.1203,0.437654,0.5232
1694110614671875,-9.221901,2.210385,-3.24895,0.1233,0.443754,0.4252
1694110614679687,-9.237901,2.240385,-3.29895,0.1227,0.443454,0.3732
1694110614687500,-9.264901,2.237385,-3.2895,0.1168,0.438954,0.3922
1694110614695312,-9.273901,2.196385,-2.943895,0.1016,0.443954,0.3822
1694110614703125,-9.286901,2.173385,-2.988895,0.928,0.445254,0.3942
1694110614710937,-9.172901,2.227385,-3.13895,0.926,0.445254,0.4412
1694110614718750,-9.87901,2.237385,-3.22895,0.957,0.435854,0.4402
1694110614726562,-9.92901,2.227385,-3.63895,0.944,0.445254,0.3942
1694110614734375,-9.80901,2.243385,-3.90895,0.813,0.431054,0.3762
1694110614742187,-9.83901,2.228385,-3.36895,0.895,0.437454,0.4092
1694110614750000,-9.94901,2.212385,-3.146895,0.929,0.437554,0.4592
1694110614757812,-8.995901,2.193385,-3.153895,0.88,0.418654,0.3452
1694110614765625,-8.903901,2.192385,-3.176895,0.703,0.420254,0.3612
1694110614773437,-8.908901,2.191385,-3.268895,0.788,0.418854,0.3642
1694110614781250,-8.878901,2.186385,-3.316895,0.74,0.420354,0.3162
1694110614789062,-8.971901,2.236385,-3.332895,0.819,0.414154,0.3952
1694110614796875,-9.24901,2.222385,-3.361895,0.818,0.417254,0.4112
1694110614804687,-8.964901,2.219385,-3.456895,0.703,0.426754,0.5872
1694110614812500,-8.944901,2.235385,-3.546895,0.657,0.428454,0.6212
1694110614820312,-8.934901,2.186385,-3.490895,0.634,0.417154,0.5682
1694110614828125,-8.996901,2.150385,-3.472895,0.487,0.406054,0.5342
1694110614835937,-9.58901,2.113385,-3.510895,0.471,0.406054,0.5182
1694110614843750,-9.28901,2.54385,-3.598895,0.64,0.404754,0.4422
1694110614851562,-9.33901,2.75385,-3.634895,0.692,0.400154,0.3962
1694110614859375,-9.18901,2.96385,-3.666895,0.509,0.410854,0.3772
1694110614867187,-9.9901,2.120385,-3.752895,0.401,0.420154,0.1712
1694110614875000,-8.911901,2.152385,-3.777895,0.287,0.416954,0.1062
1694110614882812,-8.845901,2.97385,-3.876895,0.42,0.427854,0.38
1694110614890625,-8.897901,2.107385,-3.987895,0.369,0.446354,0.1018
1694110614898437,-8.886901,2.32385,-3.957895,0.383,0.424454,0.1198
1694110614906250,-8.936901,2.19385,-3.941895,0.355,0.418354,0.1338
1694110614914062,-8.956901,2.13385,-3.901895,0.161,0.405754,0.1988
1694110614921875,-8.956901,2.41385,-3.971895,0.334,0.408654,0.2338
1694110614929687,-8.989901,2.140385,-4.48895,0.436,0.404154,0.2308
1694110614937500,-8.953901,2.166385,-3.978895,0.388,0.402554,0.2788
1694110614945312,-8.985901,2.148385,-4.66895,0.311,0.415054,0.3728
1694110614953125,-9.42901,2.209385,-4.194895,0.424,0.402654,0.2928
1694110614960937,-9.40901,2.245385,-4.70895,0.324,0.385454,0.2308
1694110614968750,-8.949901,2.179385,-3.989895,0.262,0.379254,0.2458
1694110614976562,-8.894901,2.99385,-4.201895,0.244,0.379054,0.3598
1694110614984375,-8.840901,2.80385,-4.287895,0.523,0.373154,0.2928
1694110614992187,-8.869901,2.96385,-4.305895,0.679,0.359054,0.2148
1694110615000000,-8.919901,2.155385,-4.350895,0.729,0.341854,0.2148
1694110615007812,-9.9901,2.158385,-4.373895,0.648,0.335754,0.1188
1694110615015625,-9.16901,2.187385,-4.377895,0.521,0.315454,0.1338
1694110615023437,-8.994901,2.209385,-4.307895,0.424,0.317054,0.858
1694110615031250,-8.952901,2.272385,-4.373895,0.325,0.330954,0.1348
1694110615039062,-8.861901,2.315385,-4.425895,0.216,0.332554,0.2288
1694110615046875,-8.737901,2.283385,-4.420895,0.23,0.326054,0.3758
1694110615054687,-8.688901,2.241385,-4.375895,0.333,0.316854,0.4688
1694110615062500,-8.687901,2.206385,-4.337895,0.364,0.313654,0.4538
1694110615070312,-8.719901,2.240385,-4.353895,0.183,0.318154,0.4718
1694110615078125,-8.692901,2.238385,-4.378895,0.185,0.313554,0.4548
1694110615085937,-8.714901,2.225385,-4.407895,0.2,0.304354,0.3108
1694110615093750,-8.739901,2.213385,-4.411895,0.121,0.304554,0.2128
1694110615101562,-8.757901,2.227385,-4.429895,0.8,0.299954,0.998
1694110615109375,-8.733901,2.254385,-4.447895,0.62,0.293654,0.92
1694110615117187,-8.700901,2.292385,-4.472895,0.136,0.295554,0.1582
1694110615125000,-8.677901,2.277385,-4.450895,0.157,0.279854,0.2512
1694110615132812,-8.689901,2.288385,-4.452895,0.75,0.272254,0.3012
1694110615140625,-8.718901,2.284385,-4.450895,0.1,0.261354,0.2852
