time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1702325222929687,-8.761333,-2.427918,7.514131,,,
1702325222937500,-8.726333,-2.412918,7.579131,0.116381,0.269472,0.97345
1702325222945312,-8.671333,-2.415918,7.633131,0.126281,0.268772,0.58445
1702325222953125,-8.556333,-2.499918,7.579131,0.133981,0.282172,0.45745
1702325222960937,-8.528333,-2.523918,7.286131,0.104181,0.285172,0.45445
1702325222968750,-8.488333,-2.479918,7.131,0.78381,0.264872,0.33445
1702325222984375,-8.273333,-2.472918,6.969131,0.67481,0.250972,0.25345
1702325222992187,-8.233333,-2.393918,7.36131,0.89581,0.262672,0.24145
1702325223000000,-8.293333,-2.339918,7.43131,0.92981,0.253372,0.33945
1702325223007812,-8.272333,-2.251918,7.140131,0.74381,0.238572,0.48145
1702325223031250,-8.553333,-1.974918,7.185131,0.90281,0.161472,0.84945
1702325223039062,-8.628333,-1.912918,7.190131,0.91181,0.123272,0.71545
1702325223046875,-8.707333,-2.15918,7.244131,0.74981,0.82372,0.59845
1702325223054687,-8.668333,-2.157918,7.399131,0.63181,0.60672,0.38345
1702325223062500,-8.784333,-2.139918,7.478131,0.68081,0.47872,0.17845
1702325223070312,-8.890333,-2.132918,7.347131,0.46781,0.20972,0.5455
1702325223078125,-9.37333,-2.34918,7.226131,0.12981,0.14028,0.20755
1702325223085937,-9.156333,-2.26918,7.338131,0.11019,0.49728,0.40655
1702325223093750,-9.158333,-2.228918,7.550131,0.5219,0.72628,0.53655
1702325223101562,-9.235333,-2.466918,7.800131,0.13481,0.82128,0.61555
1702325223109375,-9.363333,-2.637918,8.5131,0.12181,0.71528,0.66155
1702325223117187,-9.499333,-2.721918,8.135131,0.14081,0.55228,0.54655
1702325223125000,-9.624333,-2.772918,8.201131,0.15281,0.67428,0.56555
1702325223132812,-9.716333,-2.773918,8.309131,0.41881,0.93728,0.49955
1702325223140625,-9.744333,-2.704918,8.419131,0.55881,0.131128,0.45155
1702325223148437,-9.761333,-2.604918,8.399131,0.66381,0.171028,0.47155
1702325223156250,-9.808333,-2.490918,8.275131,0.61581,0.208128,0.48955
1702325223164062,-9.862333,-2.500918,8.142131,0.51681,0.242728,0.59055
1702325223171875,-9.854333,-2.563918,8.34131,0.49981,0.312328,0.56155
1702325223179687,-9.801333,-2.636918,8.81131,0.66181,0.389028,0.58455
1702325223187500,-9.684333,-2.636918,8.250131,0.100581,0.440928,0.56755
1702325223195312,-9.489333,-2.592918,8.399131,0.151581,0.477328,0.72655
1702325223203125,-9.271333,-2.607918,8.403131,0.179281,0.478828,0.99755
1702325223210937,-9.127333,-2.715918,8.189131,0.181481,0.483128,0.125855
1702325223218750,-9.3333,-2.762918,7.867131,0.164081,0.472628,0.143655
1702325223226562,-8.905333,-2.692918,7.653131,0.158181,0.452728,0.137055
1702325223234375,-8.765333,-2.489918,7.532131,0.152381,0.439428,0.123955
