time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1694788269140625,-8.911333,4.15563,-0.034278,,,
1694788269148437,-8.920333,0.569453,4.15763,0.30978,0.94099,0.3103
1694788269156250,-8.936333,0.558453,4.16863,0.32378,0.95499,0.4703
1694788269164062,-8.949333,0.554453,4.18663,0.26978,0.103799,0.12503
1694788269171875,-8.960333,0.550453,4.21163,0.28378,0.95899,0.10903
1694788269179687,-8.985333,0.552453,4.20963,0.21678,0.100399,0.12603
1694788269195312,-8.989333,0.551453,4.22063,0.26478,0.99699,0.18603
1694788269203125,-8.989333,0.548453,4.22763,0.21978,0.98899,0.20503
1694788269210937,-8.991333,0.559453,4.22963,0.19078,0.102199,0.25203
1694788269218750,-8.980333,0.568453,4.22563,0.15878,0.97499,0.26803
1694788269242187,-8.923333,0.582453,4.22563,0.6878,0.88999,0.33503
1694788269250000,-8.912333,0.604453,4.22263,0.2478,0.98699,0.30203
1694788269257812,-8.885333,0.616453,4.22363,0.178,0.91899,0.35103
1694788269265625,-8.872333,0.626453,4.21163,0.1078,0.92299,0.44503
1694788269273437,-8.856333,0.644453,4.20963,0.2978,0.97399,0.28403
1694788269281250,-8.847333,0.653453,4.21363,0.1578,0.105399,0.33203
1694788269289062,-8.852333,0.654453,4.21863,0.2178,0.106299,0.33403
1694788269296875,-8.847333,0.664453,4.22563,0.1378,0.105199,0.33203
1694788269304687,-8.847333,0.675453,4.24763,0.3778,0.105699,0.33003
1694788269312500,-8.844333,0.689453,4.24763,0.378,0.104599,0.35103
1694788269320312,-8.850333,0.681453,4.22263,0.5878,0.105099,0.28503
1694788269328125,-8.848333,0.663453,4.22963,0.18278,0.110999,0.28603
1694788269335937,-8.848333,0.667453,4.23863,0.24178,0.106099,0.25603
1694788269343750,-8.850333,0.696453,4.25063,0.24778,0.104799,0.27003
1694788269351562,-8.859333,0.698453,4.26363,0.13278,0.96799,0.28703
1694788269359375,-8.884333,0.685453,4.26363,0.14878,0.98399,0.33503
1694788269367187,-8.908333,0.678453,4.27063,0.28578,0.101999,0.28503
1694788269375000,-8.913333,0.664453,4.25963,0.26478,0.90799,0.31803
1694788269382812,-8.926333,0.648453,4.25063,0.25878,0.85599,0.36803
1694788269390625,-8.950333,0.651453,4.24563,0.28378,0.87799,0.27003
1694788269398437,-8.957333,0.624453,4.29963,0.22978,0.103099,0.30303
1694788269406250,-8.957333,0.636453,4.34263,0.16778,0.92299,0.28603
