time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1695051683140625,-9.242784,3.521994,-0.098068,,,
1695051683148437,-9.248784,3.515994,0.830238,0.100168,0.52821,0.5218
1695051683156250,-9.251784,3.512994,0.828238,0.98068,0.48321,0.13018
1695051683164062,-9.253784,3.511994,0.830238,0.100068,0.51521,0.13018
1695051683171875,-9.259784,3.511994,0.832238,0.101868,0.50021,0.19418
1695051683179687,-9.249784,3.505994,0.823238,0.99468,0.38121,0.13218
1695051683195312,-9.271784,3.499994,0.812238,0.87468,0.50421,0.19318
1695051683203125,-9.264784,3.501994,0.812238,0.87568,0.47021,0.17918
1695051683210937,-9.278784,3.490994,0.805238,0.87568,0.47321,0.25718
1695051683218750,-9.281784,3.501994,0.805238,0.91668,0.38821,0.32318
1695051683242187,-9.286784,3.491994,0.784238,0.79068,0.37821,0.38618
1695051683250000,-9.303784,3.477994,0.796238,0.80168,0.49721,0.39818
1695051683257812,-9.300784,3.473994,0.796238,0.80168,0.48021,0.39818
1695051683265625,-9.296784,3.448994,0.780238,0.82868,0.44821,0.42918
1695051683273437,-9.291784,3.430994,0.775238,0.75368,0.53321,0.42818
1695051683281250,-9.286784,3.432994,0.780238,0.78768,0.54921,0.42818
1695051683289062,-9.288784,3.426994,0.787238,0.81768,0.54721,0.39718
1695051683296875,-9.287784,3.400994,0.793238,0.74768,0.51721,0.39618
1695051683304687,-9.290784,3.401994,0.810238,0.77268,0.42921,0.38418
1695051683312500,-9.300784,3.410994,0.812238,0.73968,0.52921,0.33518
1695051683320312,-9.288784,3.408994,0.819238,0.83168,0.54421,0.31818
1695051683328125,-9.279784,3.410994,0.835238,0.83168,0.54421,0.31818
1695051683335937,-9.256784,3.394994,0.828238,0.75268,0.49121,0.22618
1695051683343750,-9.241784,3.393994,0.832238,0.82468,0.39121,0.25818
1695051683351562,-9.255784,3.423994,0.835238,0.75168,0.47721,0.27318
1695051683359375,-9.278784,3.445994,0.855238,0.76768,0.44321,0.28918
1695051683367187,-9.298784,3.452994,0.869238,0.78168,0.39521,0.35218
1695051683375000,-9.268784,3.434994,0.866238,0.75368,0.41021,0.30618
1695051683382812,-9.236784,3.403994,0.848238,0.75768,0.36121,0.37018
1695051683390625,-9.222784,3.378994,0.844238,0.76868,0.27621,0.32418
1695051683398437,-9.251784,3.379994,0.826238,0.72468,0.24421,0.35718
1695051683406250,-9.273784,3.384994,0.809238,0.71568,0.19921,0.43518
1695051683414062,-9.305784,3.396994,0.798238,0.65868,0.18321,0.45218
1695051683421875,-9.345784,3.404994,0.787238,0.58368,0.11621,0.43818
1695051683429687,-9.352784,3.405994,0.773238,0.61268,0.23921,0.54518
1695051683437500,-9.330784,3.404994,0.773238,0.54668,0.20721,0.54518
1695051683445312,-9.321784,3.412994,0.759238,0.56668,0.23821,0.49818
1695051683453125,-9.318784,3.410994,0.743238,0.66168,0.32021,0.51218
1695051683460937,-9.336784,3.422994,0.741238,0.62168,0.28821,0.56118
1695051683468750,-9.350784,3.429994,0.739238,0.57368,0.34021,0.57518
1695051683476562,-9.351784,3.441994,0.746238,0.74768,0.33521,0.56018
1695051683484375,-9.338784,3.458994,0.748238,0.70068,0.38721,0.57418
1695051683492187,-9.337784,3.453994,0.755238,0.64968,0.42221,0.55718
1695051683500000,-9.316784,3.446994,0.768238,0.77168,0.40321,0.57218
1695051683507812,-9.303784,3.427994,0.777238,0.75268,0.37021,0.55718
