time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1696783828507812,-9.729463,1.661244,-0.123178,,,
1696783828515625,-9.784463,0.388258,1.652244,0.174239,0.120878,0.19657
1696783828523437,-9.764463,0.407258,1.643244,0.171339,0.115678,0.10157
1696783828531250,-9.750463,0.403258,1.677244,0.154839,0.106378,0.2557
1696783828539062,-9.709463,0.414258,1.709244,0.159639,0.89178,0.8043
1696783828546875,-9.671463,0.454258,1.707244,0.147639,0.76678,0.15643
1696783828562500,-9.754463,0.524258,1.683244,0.135839,0.64178,0.31343
1696783828570312,-9.789463,0.553258,1.674244,0.123739,0.55578,0.36043
1696783828578125,-9.775463,0.591258,1.679244,0.108539,0.55078,0.36043
1696783828585937,-9.778463,0.622258,1.679244,0.108539,0.48478,0.34343
1696783828609375,-9.782463,0.596258,1.551244,0.71939,0.35978,0.27943
1696783828617187,-9.753463,0.613258,1.551244,0.71939,0.32878,0.26443
1696783828625000,-9.764463,0.618258,1.567244,0.62639,0.29478,0.20043
1696783828632812,-9.782463,0.614258,1.519244,0.52039,0.23978,0.23143
1696783828640625,-9.778463,0.616258,1.487244,0.49039,0.27278,0.26443
1696783828648437,-9.827463,0.651258,1.481244,0.47539,0.20278,0.21343
1696783828656250,-9.864463,0.635258,1.487244,0.38239,0.23778,0.16843
1696783828664062,-9.859463,0.599258,1.421244,0.33639,0.22378,0.12243
1696783828671875,-9.865463,0.573258,1.385244,0.34939,0.27678,0.4443
1696783828679687,-9.867463,0.533258,1.372244,0.33439,0.24278,0.4343
1696783828687500,-9.858463,0.521258,1.353244,0.35039,0.21078,0.4343
1696783828695312,-9.858463,0.504258,1.344244,0.33439,0.25878,0.5943
1696783828703125,-9.881463,0.511258,1.324244,0.38139,0.19178,0.10543
1696783828710937,-9.915463,0.534258,1.319244,0.42939,0.23878,0.21643
1696783828718750,-9.915463,0.549258,1.312244,0.51839,0.46178,0.18943
1696783828726562,-9.904463,0.549258,1.312244,0.41339,0.45678,0.26843
1696783828734375,-9.901463,0.547258,1.321244,0.56439,0.47678,0.22043
1696783828742187,-9.943463,0.576258,1.312244,0.59439,0.49778,0.19043
1696783828750000,-9.954463,0.596258,1.317244,0.57839,0.53078,0.12643
1696783828757812,-9.978463,0.625258,1.319244,0.57639,0.63778,0.6743
1696783828765625,-10.14463,0.663258,1.357244,0.59139,0.68878,0.3643
1696783828773437,-9.982463,0.677258,1.380244,0.63539,0.72178,0.2757
1696783828781250,-9.928463,0.663258,1.419244,0.57339,0.77378,0.5757
1696783828789062,-9.888463,0.675258,1.455244,0.55939,0.87378,0.2543
1696783828796875,-9.853463,0.668258,1.485244,0.39039,0.97078,0.1243
1696783828804687,-9.817463,0.656258,1.487244,0.36139,0.88478,0.2543
1696783828812500,-9.769463,0.629258,1.474244,0.36039,0.88578,0.557
1696783828820312,-9.767463,0.606258,1.478244,0.33039,0.80178,0.943
1696783828828125,-9.771463,0.624258,1.483244,0.34639,0.80078,0.2443
1696783828835937,-9.749463,0.633258,1.478244,0.26939,0.78478,0.943
1696783828843750,-9.785463,0.634258,1.469244,0.28539,0.68278,0.643
1696783828851562,-9.817463,0.654258,1.481244,0.36039,0.70178,0.5757
1696783828859375,-9.844463,0.661258,1.437244,0.23939,0.63378,0.5757
1696783828867187,-9.848463,0.619258,1.433244,0.7039,0.66478,0.8657
1696783828875000,-9.803463,0.594258,1.437244,0.10139,0.69878,0.7057
1696783828882812,-9.811463,0.561258,1.431244,0.11839,0.66078,0.3843
1696783828890625,-9.847463,0.570258,1.428244,0.8839,0.67378,0.8543
1696783828898437,-9.870463,0.572258,1.417244,0.9039,0.62178,0.16443
1696783828906250,-9.881463,0.589258,1.426244,0.9039,0.66878,0.19543
1696783828914062,-9.896463,0.610258,1.433244,0.9139,0.70378,0.24543
1696783828921875,-9.905463,0.646258,1.446244,0.10639,0.77078,0.24643
1696783828929687,-9.935463,0.664258,1.448244,0.0,0.76878,0.29543
1696783828937500,-9.933463,0.691258,1.446244,0.1661,0.85378,0.20143
1696783828945312,-9.904463,0.707258,1.464244,0.6361,0.87178,0.13843
1696783828953125,-9.867463,0.707258,1.510244,0.14061,0.93478,0.12343
1696783828960937,-9.869463,0.709258,1.524244,0.21861,0.78878,0.457
1696783828968750,-9.933463,0.700258,1.515244,0.35861,0.79278,0.17657
1696783828976562,-9.971463,0.688258,1.515244,0.36161,0.76478,0.36657
1696783828984375,-9.943463,0.647258,1.531244,0.36261,0.71678,0.44657
1696783828992187,-9.872463,0.606258,1.540244,0.40961,0.80278,0.49157
1696783829000000,-9.832463,0.579258,1.554244,0.43961,0.71778,0.47657
1696783829007812,-9.788463,0.534258,1.545244,0.44061,0.70178,0.54057
1696783829015625,-9.767463,0.484258,1.513244,0.45561,0.56978,0.57457
1696783829023437,-9.746463,0.444258,1.488244,0.41061,0.57378,0.62157
1696783829031250,-9.765463,0.434258,1.499244,0.45361,0.53678,0.49457
1696783829039062,-9.818463,0.436258,1.501244,0.46861,0.51578,0.48157
1696783829046875,-9.823463,0.440258,1.497244,0.45061,0.61078,0.28957
1696783829054687,-9.860463,0.472258,1.497244,0.44761,0.57078,0.11657
1696783829062500,-9.876463,0.501258,1.522244,0.55261,0.54878,0.3757
1696783829070312,-9.851463,0.472258,1.499244,0.65861,0.51178,0.2257
1696783829078125,-9.809463,0.440258,1.458244,0.62661,0.49178,0.5543
1696783829085937,-9.805463,0.429258,1.458244,0.64161,0.43878,0.8543
1696783829093750,-9.798463,0.449258,1.488244,0.62561,0.42078,0.13243
1696783829101562,-9.768463,0.459258,1.465244,0.63661,0.22778,0.26843
1696783829109375,-9.671463,0.477258,1.429244,0.63661,0.22678,0.31643
1696783829117187,-9.706463,0.492258,1.469244,0.63561,0.7978,0.29943
1696783829125000,-9.910463,0.486258,1.440244,0.63461,0.8622,0.28043
1696783829132812,-9.921463,0.449258,1.342244,0.63561,0.16278,0.31643
1696783829140625,-9.800463,0.378258,1.276244,0.61961,0.29578,0.43043
1696783829148437,-9.716463,0.393258,1.374244,0.63161,0.16678,0.58343
1696783829156250,-9.723463,0.412258,1.406244,0.61261,0.14778,0.75743
1696783829164062,-9.777463,0.461258,1.335244,0.63761,0.1378,0.105243
1696783829171875,-9.876463,0.540258,1.251244,0.62061,0.4378,0.119543
1696783829179687,-9.971463,0.601258,1.289244,0.60761,0.20078,0.112143
1696783829187500,-9.998463,0.655258,1.348244,0.62261,0.24778,0.112143
1696783829195312,-9.955463,0.665258,1.337244,0.60961,0.50378,0.106343
1696783829203125,-9.924463,0.694258,1.303244,0.63861,0.45178,0.112643
1696783829210937,-9.913463,0.752258,1.344244,0.68461,0.58378,0.116043
1696783829218750,-9.864463,0.775258,1.382244,0.83861,0.63278,0.113143
1696783829226562,-9.809463,0.800258,1.382244,0.85561,0.61778,0.102043
1696783829234375,-9.821463,0.813258,1.387244,0.88761,0.53678,0.89243
1696783829242187,-9.853463,0.822258,1.398244,0.88961,0.52578,0.78243
1696783829250000,-9.926463,0.832258,1.398244,0.90761,0.44978,0.56043
1696783829257812,-9.979463,0.786258,1.391244,0.91261,0.64378,0.32843
1696783829265625,-9.922463,0.747258,1.389244,0.88461,0.61478,0.21743
1696783829273437,-9.861463,0.711258,1.405244,0.94661,0.71778,0.14143
1696783829281250,-9.830463,0.664258,1.474244,0.110061,0.73278,0.7943
1696783829289062,-9.830463,0.655258,1.481244,0.105361,0.66178,0.15543
1696783829296875,-9.843463,0.631258,1.451244,0.103661,0.69178,0.26643
1696783829304687,-9.839463,0.635258,1.460244,0.100561,0.75978,0.28343
1696783829312500,-9.845463,0.642258,1.469244,0.88361,0.71078,0.26543
1696783829320312,-9.811463,0.613258,1.483244,0.88361,0.67478,0.29543
1696783829328125,-9.702463,0.586258,1.481244,0.91161,0.63978,0.40643
1696783829335937,-9.682463,0.624258,1.485244,0.83261,0.51878,0.49743
1696783829343750,-9.735463,0.669258,1.485244,0.79961,0.33378,0.58943
1696783829351562,-9.812463,0.705258,1.412244,0.85961,0.17578,0.58343
1696783829359375,-9.897463,0.749258,1.357244,0.84561,0.21478,0.57043
1696783829367187,-9.913463,0.752258,1.337244,0.72461,0.20278,0.50643
1696783829375000,-9.830463,0.766258,1.350244,0.74061,0.25578,0.46043
