time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1696783178546875,-9.598523,1.669558,-0.040295,,,
1696783178554687,-9.605523,1.654558,1.43888,0.67071,0.40295,0.2788
1696783178562500,-9.584523,1.638558,1.59888,0.59371,0.31595,0.7488
1696783178570312,-9.571523,1.624558,1.63888,0.56171,0.31795,0.9188
1696783178578125,-9.575523,1.618558,1.59888,0.57671,0.20295,0.12288
1696783178585937,-9.593523,1.631558,1.39888,0.67071,0.18695,0.13788
1696783178601562,-9.614523,1.625558,1.54888,0.67071,0.14995,0.23288
1696783178609375,-9.615523,1.612558,1.50888,0.65171,0.25695,0.20488
1696783178617187,-9.602523,1.589558,1.57888,0.67071,0.15195,0.18488
1696783178625000,-9.597523,1.594558,1.59888,0.64971,0.19495,0.23788
1696783178648437,-9.581523,1.589558,1.57888,0.71571,0.12295,0.21788
1696783178656250,-9.581523,1.589558,1.52888,0.82371,0.9295,0.24988
1696783178664062,-9.574523,1.585558,1.23888,0.83971,0.11095,0.23388
1696783178671875,-9.577523,1.592558,1.9888,0.82271,0.9695,0.25088
1696783178679687,-9.581523,1.592558,0.980888,0.71471,0.7795,0.20288
1696783178687500,-9.584523,1.589558,0.969888,0.74971,0.10695,0.13688
1696783178695312,-9.577523,1.600558,0.958888,0.68471,0.12595,0.15488
1696783178703125,-9.599523,1.605558,0.969888,0.65371,0.20795,0.13988
1696783178710937,-9.622523,1.616558,0.969888,0.65571,0.18295,0.16888
1696783178718750,-9.634523,1.639558,0.969888,0.67171,0.15595,0.7388
1696783178726562,-9.634523,1.632558,0.991888,0.62671,0.13595,0.4088
1696783178734375,-9.627523,1.632558,0.994888,0.60971,0.8795,0.12188
1696783178742187,-9.618523,1.618558,0.996888,0.50371,0.11795,0.2312
1696783178750000,-9.608523,1.592558,0.989888,0.45471,0.10295,0.5788
1696783178757812,-9.604523,1.581558,0.976888,0.45371,0.10995,0.1912
1696783178765625,-9.586523,1.574558,0.973888,0.48571,0.7395,0.512
1696783178773437,-9.585523,1.565558,0.958888,0.50071,0.6295,0.5212
1696783178781250,-9.595523,1.567558,0.931888,0.55371,0.1895,0.10512
1696783178789062,-9.599523,1.565558,0.924888,0.56671,0.7095,0.5612
1696783178796875,-9.610523,1.579558,0.958888,0.64271,0.14195,0.7012
1696783178804687,-9.604523,1.578558,0.960888,0.67271,0.15795,0.612
1696783178812500,-9.613523,1.574558,0.955888,0.65871,0.13795,0.2312
1696783178820312,-9.626523,1.576558,0.946888,0.67271,0.18295,0.10388
1696783178828125,-9.635523,1.574558,0.964888,0.65671,0.12095,0.7288
1696783178835937,-9.642523,1.570558,0.962888,0.65871,0.11795,0.3988
1696783178843750,-9.649523,1.572558,0.960888,0.67271,0.14895,0.15188
1696783178851562,-9.646523,1.570558,0.940888,0.65771,0.21395,0.10388
1696783178859375,-9.638523,1.585558,0.944888,0.64071,0.26495,0.10488
1696783178867187,-9.615523,1.583558,0.960888,0.65871,0.24195,0.14988
1696783178875000,-9.622523,1.585558,0.935888,0.52971,0.33195,0.15588
1696783178882812,-9.606523,1.594558,0.937888,0.49971,0.36195,0.12288
1696783178890625,-9.604523,1.596558,0.926888,0.51571,0.34695,0.9088
1696783178898437,-9.597523,1.600558,0.946888,0.59371,0.36295,0.10588
1696783178906250,-9.609523,1.600558,0.953888,0.57871,0.31295,0.12188
1696783178914062,-9.611523,1.596558,0.964888,0.54371,0.22395,0.14088
1696783178921875,-9.613523,1.589558,0.937888,0.48371,0.24695,0.15388
1696783178929687,-9.624523,1.574558,0.953888,0.46771,0.13695,0.13988
1696783178937500,-9.610523,1.572558,0.935888,0.48571,0.9995,0.10488
1696783178945312,-9.608523,1.569558,0.946888,0.40871,0.14895,0.4188
1696783178953125,-9.590523,1.565558,0.969888,0.42471,0.18195,0.2588
1696783178960937,-9.592523,1.562558,0.994888,0.40871,0.12895,0.10488
1696783178968750,-9.595523,1.558558,0.996888,0.42571,0.9995,0.712
1696783178976562,-9.579523,1.565558,0.994888,0.42071,0.18795,0.9288
1696783178984375,-9.585523,1.569558,0.996888,0.40471,0.15495,0.12488
1696783178992187,-9.588523,1.560558,0.994888,0.42271,0.10095,0.10588
1696783179000000,-9.595523,1.563558,0.996888,0.39071,0.16595,0.12288
1696783179007812,-9.597523,1.563558,0.994888,0.40571,0.8795,0.10788
1696783179015625,-9.594523,1.558558,1.888,0.39171,0.2295,0.5888
1696783179023437,-9.594523,1.558558,0.980888,0.31071,0.5695,0.14188
1696783179031250,-9.574523,1.549558,0.991888,0.40771,0.295,0.8988
1696783179039062,-9.565523,1.547558,1.888,0.40671,0.295,0.13788
1696783179046875,-9.570523,1.542558,0.996888,0.42471,0.3195,0.7188
1696783179054687,-9.579523,1.547558,0.998888,0.39271,0.1505,0.10488
1696783179062500,-9.583523,1.549558,0.994888,0.34471,0.395,0.10688
1696783179070312,-9.595523,1.549558,0.996888,0.42671,0.13705,0.13388
1696783179078125,-9.594523,1.547558,0.994888,0.36171,0.1705,0.13688
1696783179085937,-9.587523,1.543558,1.3888,0.42471,0.3005,0.2488
1696783179093750,-9.599523,1.545558,1.14888,0.40571,0.15405,0.10688
1696783179101562,-9.594523,1.536558,1.18888,0.42271,0.16005,0.15288
1696783179109375,-9.594523,1.527558,1.41888,0.40871,0.9405,0.7388
1696783179117187,-9.605523,1.514558,1.41888,0.42671,0.19505,0.2288
1696783179125000,-9.612523,1.507558,1.21888,0.41071,0.9905,0.3888
1696783179132812,-9.616523,1.505558,1.41888,0.42271,0.9005,0.5888
1696783179140625,-9.630523,1.501558,1.21888,0.40671,0.1405,0.13788
1696783179148437,-9.632523,1.506558,1.27888,0.46871,0.2395,0.9088
1696783179156250,-9.632523,1.499558,1.39888,0.54771,0.795,0.7388
1696783179164062,-9.641523,1.501558,1.48888,0.54771,0.495,0.10488
1696783179171875,-9.641523,1.510558,1.66888,0.62571,0.8695,0.10488
1696783179179687,-9.634523,1.501558,1.52888,0.54571,0.12795,0.2888
1696783179187500,-9.629523,1.494558,1.66888,0.54871,0.15195,0.988
1696783179195312,-9.623523,1.503558,1.68888,0.59471,0.13895,0.2588
1696783179203125,-9.616523,1.506558,1.63888,0.62571,0.14295,0.512
1696783179210937,-9.616523,1.510558,1.66888,0.61071,0.15395,0.4188
1696783179218750,-9.609523,1.516558,1.66888,0.50171,0.12095,0.2688
1696783179226562,-9.616523,1.514558,1.68888,0.51771,0.19995,0.4188
1696783179234375,-9.605523,1.530558,1.70888,0.67171,0.17195,0.8988
1696783179242187,-9.601523,1.530558,1.66888,0.62371,0.25395,0.7488
1696783179250000,-9.614523,1.532558,1.63888,0.67071,0.17895,0.1188
1696783179257812,-9.612523,1.530558,1.54888,0.68571,0.9195,0.15388
1696783179265625,-9.614523,1.537558,1.54888,0.66871,0.17695,0.12388
1696783179273437,-9.619523,1.537558,1.68888,0.60571,0.19295,0.14088
1696783179281250,-9.609523,1.530558,1.66888,0.55971,0.11095,0.10888
1696783179289062,-9.609523,1.530558,1.57888,0.48171,0.9295,0.10888
1696783179296875,-9.596523,1.536558,1.59888,0.38571,0.11195,0.15988
1696783179304687,-9.599523,1.550558,1.70888,0.43471,0.9095,0.14088
1696783179312500,-9.596523,1.550558,1.84888,0.43471,0.10895,0.14188
1696783179320312,-9.614523,1.548558,1.75888,0.43471,0.10795,0.15688
1696783179328125,-9.635523,1.552558,1.54888,0.45271,0.8795,0.10688
1696783179335937,-9.619523,1.539558,1.34888,0.38971,0.10095,0.17088
1696783179343750,-9.630523,1.535558,1.43888,0.38871,0.9095,0.12488
1696783179351562,-9.600523,1.505558,1.61888,0.37571,0.15195,0.7588
1696783179359375,-9.578523,1.487558,1.72888,0.45471,0.3795,0.4188
1696783179367187,-9.573523,1.476558,1.77888,0.40571,0.995,0.5988
1696783179375000,-9.552523,1.456558,1.68888,0.51571,0.1195,0.1088
1696783179382812,-9.572523,1.456558,1.68888,0.57771,0.1495,0.1188
1696783179390625,-9.573523,1.465558,1.77888,0.59571,0.15595,0.2212
1696783179398437,-9.566523,1.483558,1.81888,0.56371,0.10795,0.2112
1696783179406250,-9.575523,1.505558,1.79888,0.54471,0.14595,0.2988
1696783179414062,-9.576523,1.523558,1.88888,0.52971,0.12595,0.7688
1696783179421875,-9.601523,1.539558,1.81888,0.63871,0.9495,0.10788
1696783179429687,-9.596523,1.545558,1.79888,0.52971,0.3295,0.2988
1696783179437500,-9.603523,1.543558,1.66888,0.57971,0.805,0.5788
1696783179445312,-9.616523,1.545558,1.72888,0.54671,0.2105,0.7488
1696783179453125,-9.608523,1.543558,1.50888,0.48671,0.2295,0.612
1696783179460937,-9.619523,1.530558,1.34888,0.57971,0.1005,0.7288
1696783179468750,-9.603523,1.532558,1.43888,0.57971,0.495,0.8888
1696783179476562,-9.592523,1.521558,1.57888,0.54871,0.1005,0.5688
1696783179484375,-9.583523,1.525558,1.66888,0.53371,0.1305,0.5588
1696783179492187,-9.576523,1.531558,1.72888,0.45571,0.295,0.7288
1696783179500000,-9.576523,1.522558,1.88888,0.56571,0.1305,0.5588
1696783179507812,-9.592523,1.529558,1.88888,0.66271,0.6505,0.488
1696783179515625,-9.596523,1.527558,1.75888,0.61271,0.15905,0.5488
1696783179523437,-9.603523,1.516558,1.66888,0.54871,0.4305,0.5688
1696783179531250,-9.609523,1.514558,1.72888,0.60971,0.795,0.7288
1696783179539062,-9.614523,1.505558,1.61888,0.66171,0.3495,0.2612
1696783179546875,-9.625523,1.516558,1.59888,0.67671,0.16395,0.1012
1696783179554687,-9.619523,1.516558,1.66888,0.59771,0.11795,0.4012
1696783179562500,-9.621523,1.523558,1.79888,0.56471,0.22195,0.5312
1696783179570312,-9.617523,1.536558,1.95888,0.56571,0.20195,0.5512
1696783179578125,-9.612523,1.547558,1.111888,0.56571,0.11995,0.712
1696783179585937,-9.601523,1.561558,1.124888,0.50471,0.9995,0.2412
1696783179593750,-9.608523,1.567558,1.127888,0.48971,0.3495,0.4012
1696783179601562,-9.633523,1.563558,1.88888,0.61371,0.495,0.2412
1696783179609375,-9.631523,1.559558,1.68888,0.48971,0.1505,0.4112
1696783179617187,-9.610523,1.547558,1.68888,0.41071,0.1595,0.812
1696783179625000,-9.610523,1.534558,1.68888,0.42371,0.7195,0.2112
1696783179632812,-9.596523,1.532558,1.81888,0.37571,0.10595,0.412
1696783179640625,-9.598523,1.527558,1.81888,0.40771,0.8995,0.2012
1696783179648437,-9.594523,1.527558,1.88888,0.42271,0.10795,0.2012
1696783179656250,-9.598523,1.516558,1.93888,0.46971,0.8995,0.512
1696783179664062,-9.598523,1.525558,1.81888,0.51771,0.10695,0.2112
