time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1700498534000000,-9.549241,2.0048,-0.035544,,,
1700498534007812,-9.543241,0.868108,2.118,0.22489,0.42244,0.18403
1700498534015625,-9.532241,0.868108,2.208,0.23089,0.35344,0.19803
1700498534023437,-9.538241,0.866108,2.458,0.25789,0.48644,0.18403
1700498534031250,-9.529241,0.859108,2.568,0.19389,0.42244,0.15303
1700498534039062,-9.518241,0.841108,2.458,0.15389,0.41744,0.18303
1700498534054687,-9.516241,0.874108,2.768,0.20189,0.58144,0.8703
1700498534062500,-9.525241,0.852108,2.1068,0.17389,0.49644,0.14903
1700498534070312,-9.524241,0.825108,2.278,0.2789,0.33444,0.24803
1700498534078125,-9.509241,0.839108,2.228,0.711,0.33744,0.26603
1700498534101562,-9.572241,0.832108,1.9018,0.22289,0.28244,0.22703
1700498534109375,-9.531241,0.834108,1.8498,0.22089,0.23444,0.22703
1700498534117187,-9.492241,0.869108,1.9738,0.17489,0.28244,0.24403
1700498534125000,-9.521241,0.883108,2.658,0.22989,0.32044,0.26203
1700498534132812,-9.552241,0.859108,2.728,0.31489,0.21644,0.32203
1700498534140625,-9.567241,0.848108,2.498,0.45289,0.10644,0.25703
1700498534148437,-9.583241,0.851108,2.678,0.37389,0.15544,0.24303
1700498534156250,-9.593241,0.866108,2.818,0.18889,0.21744,0.26003
1700498534164062,-9.591241,0.877108,2.708,0.8089,0.29844,0.26103
1700498534171875,-9.608241,0.887108,2.498,0.3611,0.28744,0.21703
1700498534179687,-9.618241,0.891108,2.228,0.89,0.36544,0.21503
1700498534187500,-9.624241,0.871108,2.118,0.911,0.43744,0.23503
1700498534195312,-9.603241,0.858108,2.188,0.889,0.45244,0.20203
1700498534203125,-9.572241,0.835108,2.138,0.89,0.43044,0.18303
1700498534210937,-9.536241,0.823108,1.9958,0.1089,0.45144,0.20103
1700498534218750,-9.511241,0.816108,1.9778,0.89,0.51244,0.15103
1700498534226562,-9.488241,0.829108,1.9718,0.4489,0.38444,0.18403
1700498534234375,-9.475241,0.827108,1.9668,0.3889,0.43544,0.26603
1700498534242187,-9.477241,0.827108,1.9708,0.611,0.43444,0.25003
1700498534250000,-9.486241,0.821108,2.28,0.489,0.32344,0.26703
1700498534257812,-9.508241,0.818108,2.118,0.7289,0.35244,0.24803
1700498534265625,-9.522241,0.817108,2.188,0.14989,0.33744,0.24803
1700498534273437,-9.549241,0.812108,2.118,0.12689,0.38144,0.19703
1700498534281250,-9.567241,0.822108,2.368,0.11789,0.33744,0.24803
1700498534289062,-9.585241,0.827108,2.338,0.14789,0.33944,0.24803
1700498534296875,-9.592241,0.829108,2.48,0.8389,0.38844,0.26603
1700498534304687,-9.594241,0.836108,2.68,0.15889,0.34144,0.29803
1700498534312500,-9.589241,0.836108,2.48,0.22489,0.34044,0.21603
1700498534320312,-9.592241,0.838108,2.68,0.13189,0.38944,0.13703
1700498534328125,-9.585241,0.851108,2.48,0.12089,0.43444,0.16803
1700498534335937,-9.590241,0.844108,2.48,0.17889,0.38844,0.23203
1700498534343750,-9.583241,0.840108,1.9828,0.5589,0.37044,0.21703
1700498534351562,-9.540241,0.830108,1.9668,0.611,0.45244,0.13803
1700498534359375,-9.514241,0.847108,1.9468,0.4689,0.54644,0.12003
1700498534367187,-9.511241,0.845108,1.9978,0.23889,0.48744,0.26503
1700498534375000,-9.500241,0.834108,1.9798,0.26289,0.45144,0.13403
1700498534382812,-9.500241,0.836108,1.9778,0.24789,0.43544,0.11803
1700498534390625,-9.495241,0.838108,2.438,0.26189,0.36944,0.18203
1700498534398437,-9.498241,0.840108,2.478,0.14389,0.30044,0.14803
1700498534406250,-9.502241,0.838108,2.458,0.12489,0.38344,0.16603
1700498534414062,-9.527241,0.852108,2.298,0.16989,0.38444,0.19803
1700498534421875,-9.554241,0.839108,2.458,0.23089,0.35444,0.8603
1700498534429687,-9.558241,0.826108,2.638,0.10489,0.30544,0.15103
1700498534437500,-9.569241,0.822108,2.478,0.12289,0.36944,0.10303
1700498534445312,-9.567241,0.831108,2.428,0.11289,0.35944,0.10603
1700498534453125,-9.558241,0.824108,2.368,0.4089,0.40344,0.16903
1700498534460937,-9.551241,0.819108,2.318,0.13689,0.37144,0.7103
1700498534468750,-9.535241,0.810108,2.278,0.8489,0.42144,0.20103
1700498534476562,-9.517241,0.817108,2.278,0.21489,0.32144,0.15003
1700498534484375,-9.517241,0.819108,2.188,0.18089,0.37244,0.15203
1700498534492187,-9.524241,0.825108,2.208,0.16689,0.35444,0.15103
1700498534500000,-9.536241,0.828108,2.408,0.21889,0.33544,0.11703
1700498534507812,-9.518241,0.829108,2.568,0.22689,0.33044,0.9803
1700498534515625,-9.525241,0.830108,2.588,0.19089,0.35044,0.5203
1700498534523437,-9.531241,0.837108,2.548,0.12589,0.33544,0.6903
1700498534531250,-9.536241,0.828108,2.658,0.13789,0.32044,0.13403
1700498534539062,-9.531241,0.824108,2.498,0.5489,0.29144,0.8903
1700498534546875,-9.536241,0.825108,2.678,0.14089,0.33544,0.10203
1700498534554687,-9.547241,0.835108,2.618,0.18589,0.40244,0.8603
1700498534562500,-9.545241,0.834108,2.638,0.11589,0.28244,0.9903
1700498534570312,-9.543241,0.834108,2.708,0.22189,0.33444,0.8403
1700498534578125,-9.540241,0.839108,2.708,0.13889,0.33644,0.10203
1700498534585937,-9.551241,0.828108,2.728,0.5889,0.28944,0.8703
1700498534593750,-9.552241,0.841108,2.908,0.15389,0.33644,0.11803
1700498534601562,-9.531241,0.850108,2.858,0.5489,0.32444,0.10503
1700498534609375,-9.538241,0.855108,2.748,0.7489,0.30544,0.8703
1700498534617187,-9.540241,0.853108,2.818,0.9689,0.26144,0.17003
1700498534625000,-9.529241,0.859108,2.858,0.3989,0.37244,0.12103
1700498534632812,-9.534241,0.850108,2.748,0.10489,0.38744,0.13603
1700498534640625,-9.524241,0.853108,2.748,0.8189,0.27744,0.13803
1700498534648437,-9.523241,0.863108,2.768,0.10389,0.30644,0.8803
1700498534656250,-9.524241,0.843108,2.788,0.2489,0.37244,0.8903
1700498534664062,-9.527241,0.843108,2.498,0.15189,0.33844,0.11903
1700498534671875,-9.524241,0.828108,2.368,0.17189,0.36844,0.10103
1700498534679687,-9.517241,0.823108,2.338,0.18189,0.37244,0.11903
1700498534687500,-9.529241,0.825108,2.368,0.20089,0.36944,0.10203
1700498534695312,-9.544241,0.824108,2.748,0.19689,0.37244,0.13503
1700498534703125,-9.536241,0.823108,2.658,0.14389,0.31844,0.5203
1700498534710937,-9.547241,0.830108,2.458,0.25789,0.35744,0.11903
