time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s)
1700753367359375,-9.619012,1.095502,-0.029263,,,
1700753367367187,-9.621012,1.98502,1.504755,0.39476,0.31463,0.7431
1700753367375000,-9.615012,1.104502,1.502755,0.39776,0.38563,0.6031
1700753367382812,-9.628012,1.111502,1.509755,0.40676,0.43463,0.7231
1700753367390625,-9.635012,1.116502,1.520755,0.39076,0.32563,0.10331
1700753367398437,-9.632012,1.114502,1.518755,0.40576,0.42363,0.8731
1700753367414062,-9.610012,1.115502,1.529755,0.29776,0.43463,0.8731
1700753367421875,-9.601012,1.131502,1.529755,0.36076,0.39863,0.2431
1700753367429687,-9.597012,1.122502,1.529755,0.21876,0.48063,0.531
1700753367437500,-9.602012,1.128502,1.525755,0.20276,0.47763,0.2569
1700753367460937,-9.624012,1.104502,1.525755,0.25076,0.42863,0.2469
1700753367468750,-9.612012,1.96502,1.506755,0.23076,0.46963,0.7569
1700753367476562,-9.576012,1.102502,1.477755,0.32176,0.40663,0.17169
1700753367484375,-9.551012,1.101502,1.466755,0.32476,0.35763,0.4269
1700753367492187,-9.569012,1.99502,1.504755,0.24776,0.25363,0.13869
1700753367500000,-9.592012,1.110502,1.538755,0.34276,0.34363,0.16769
1700753367507812,-9.601012,1.106502,1.518755,0.38776,0.36863,0.12169
1700753367515625,-9.606012,1.124502,1.506755,0.37176,0.40063,0.12169
1700753367523437,-9.603012,1.113502,1.502755,0.21376,0.45263,0.15669
1700753367531250,-9.583012,1.106502,1.547755,0.13576,0.31863,0.20469
1700753367539062,-9.585012,1.115502,1.576755,0.13476,0.50163,0.15769
1700753367546875,-9.583012,1.128502,1.565755,0.32476,0.46663,0.13869
1700753367554687,-9.561012,1.103502,1.561755,0.40376,0.44463,0.16869
1700753367562500,-9.533012,1.83502,1.551755,0.35676,0.48063,0.10569
1700753367570312,-9.554012,1.85502,1.511755,0.40876,0.37163,0.8569
1700753367578125,-9.567012,1.97502,1.516755,0.39276,0.29463,0.5469
1700753367585937,-9.581012,1.124502,1.538755,0.37376,0.35163,0.7269
1700753367593750,-9.579012,1.159502,1.549755,0.32876,0.28363,0.3969
1700753367601562,-9.593012,1.190502,1.552755,0.20276,0.36563,0.2569
1700753367609375,-9.602012,1.207502,1.538755,0.13676,0.40663,0.4469
1700753367617187,-9.614012,1.213502,1.540755,0.15376,0.45263,0.2869
1700753367625000,-9.614012,1.204502,1.538755,0.15676,0.45863,0.5769
1700753367632812,-9.604012,1.166502,1.545755,0.12376,0.35963,0.13869
1700753367640625,-9.602012,1.160502,1.554755,0.13776,0.36563,0.12369
1700753367648437,-9.581012,1.140502,1.545755,0.15076,0.32163,0.17269
1700753367656250,-9.583012,1.128502,1.527755,0.15076,0.28863,0.20469
1700753367664062,-9.579012,1.153502,1.509755,0.13576,0.27163,0.18869
1700753367671875,-9.581012,1.162502,1.502755,0.16276,0.24963,0.20669
1700753367679687,-9.575012,1.157502,1.502755,0.19776,0.35163,0.25269
1700753367687500,-9.577012,1.151502,1.504755,0.21276,0.24163,0.22069
1700753367695312,-9.575012,1.150502,1.507755,0.35776,0.24563,0.24769
1700753367703125,-9.583012,1.131502,1.509755,0.25876,0.24163,0.25269
1700753367710937,-9.580012,1.125502,1.517755,0.23876,0.30163,0.27169
1700753367718750,-9.596012,1.125502,1.531755,0.18876,0.27663,0.25769
1700753367726562,-9.590012,1.124502,1.542755,0.21076,0.33763,0.31769
1700753367734375,-9.592012,1.118502,1.527755,0.27476,0.30463,0.25169
1700753367742187,-9.590012,1.117502,1.515755,0.26176,0.21763,0.25069
1700753367750000,-9.601012,1.104502,1.536755,0.32576,0.29463,0.26469
1700753367757812,-9.601012,1.102502,1.536755,0.33976,0.28063,0.28169
